epoch train_loss train_accuracy valid_loss valid_accuracy
0.000000000000000000e+00 1.051421856284141532e+00 5.387499999999999512e-01 9.134672355651854980e-01 5.987500000000000044e-01
1.000000000000000000e+00 8.464997541904449863e-01 6.353124999999999467e-01 7.787334465980529918e-01 7.025000000000000133e-01
2.000000000000000000e+00 7.622382846474647922e-01 6.821874999999999467e-01 7.079801523685455011e-01 7.187500000000000000e-01
3.000000000000000000e+00 7.047091618180274519e-01 7.093749999999999778e-01 7.533571386337279963e-01 7.149999999999999689e-01
4.000000000000000000e+00 6.655107980966568082e-01 7.281250000000000222e-01 6.519864952564239369e-01 7.262499999999999512e-01
5.000000000000000000e+00 6.328723835945129217e-01 7.393750000000000044e-01 6.318064510822296587e-01 7.412499999999999645e-01
6.000000000000000000e+00 6.068534612655639426e-01 7.528124999999999956e-01 6.734611248970031605e-01 7.237500000000000044e-01
7.000000000000000000e+00 5.717393812537193698e-01 7.687500000000000444e-01 6.429653382301330211e-01 7.425000000000000488e-01
8.000000000000000000e+00 5.655013619363308264e-01 7.678125000000000089e-01 6.214281213283538996e-01 7.500000000000000000e-01
9.000000000000000000e+00 5.261418439447880235e-01 7.962500000000000133e-01 5.975809514522552046e-01 7.537500000000000311e-01
1.000000000000000000e+01 5.243301051855087103e-01 7.871875000000000400e-01 5.828489387035369340e-01 7.650000000000000133e-01
1.100000000000000000e+01 4.890223506093025474e-01 7.996874999999999956e-01 6.874365425109862926e-01 7.312499999999999556e-01
1.200000000000000000e+01 4.795275954902172288e-01 8.074999999999999956e-01 5.977109301090240967e-01 7.600000000000000089e-01
1.300000000000000000e+01 4.514659214019775546e-01 8.199999999999999512e-01 6.454768681526183993e-01 7.574999999999999512e-01
1.400000000000000000e+01 4.327032555639743761e-01 8.293749999999999734e-01 5.176873064041137562e-01 7.924999999999999822e-01
1.500000000000000000e+01 4.087736888229847043e-01 8.418750000000000400e-01 5.952043056488036665e-01 7.762499999999999956e-01
1.600000000000000000e+01 4.062068514525890572e-01 8.446875000000000355e-01 5.504307377338409912e-01 7.812500000000000000e-01
1.700000000000000000e+01 3.879863307625055491e-01 8.496875000000000400e-01 5.667888996005058244e-01 7.987499999999999600e-01
1.800000000000000000e+01 3.677689759433269701e-01 8.553125000000000311e-01 5.813520359992980779e-01 7.874999999999999778e-01
1.900000000000000000e+01 3.521526359021663888e-01 8.590624999999999512e-01 5.677219462394714755e-01 7.924999999999999822e-01
2.000000000000000000e+01 3.471077793836593872e-01 8.662499999999999645e-01 5.838151264190674095e-01 7.824999999999999734e-01
