# epoch, train_loss, train_accuracy, valid_loss, valid_accuracy
0.000000000000000000e+00 1.126662648320198024e+00 5.012499999999999734e-01 9.422614288330077859e-01 5.975000000000000311e-01
1.000000000000000000e+00 9.121851962804794489e-01 6.049999999999999822e-01 7.984099006652831676e-01 6.800000000000000488e-01
2.000000000000000000e+00 8.439496952295303389e-01 6.453124999999999556e-01 7.918183922767638716e-01 6.962500000000000355e-01
3.000000000000000000e+00 7.959029853343964067e-01 6.721875000000000488e-01 7.770517110824585183e-01 6.987499999999999822e-01
4.000000000000000000e+00 7.567287665605545444e-01 6.850000000000000533e-01 7.219936180114746582e-01 7.075000000000000178e-01
5.000000000000000000e+00 7.251443925499916343e-01 7.009374999999999911e-01 7.232759892940521240e-01 7.112500000000000488e-01
6.000000000000000000e+00 7.171230080723762779e-01 7.090625000000000400e-01 6.734698843955994052e-01 7.249999999999999778e-01
7.000000000000000000e+00 6.790853631496429621e-01 7.249999999999999778e-01 7.115678715705872071e-01 7.137499999999999956e-01
8.000000000000000000e+00 6.679912638664246005e-01 7.334374999999999645e-01 6.833383870124817294e-01 7.312499999999999556e-01
9.000000000000000000e+00 6.553895163536072044e-01 7.346875000000000488e-01 6.717777144908905207e-01 7.362499999999999600e-01
1.000000000000000000e+01 6.325712621212005171e-01 7.437500000000000222e-01 6.754734611511230558e-01 7.349999999999999867e-01
1.100000000000000000e+01 6.281838783621788158e-01 7.459375000000000311e-01 6.010580956935882568e-01 7.637500000000000400e-01
1.200000000000000000e+01 6.134725186228752181e-01 7.559375000000000400e-01 6.414032256603241500e-01 7.537500000000000311e-01
1.300000000000000000e+01 5.949228188395500050e-01 7.600000000000000089e-01 6.306784403324127153e-01 7.462499999999999689e-01
1.400000000000000000e+01 5.991571640968322843e-01 7.600000000000000089e-01 6.688221633434295876e-01 7.600000000000000089e-01
1.500000000000000000e+01 5.688904318213462430e-01 7.759374999999999467e-01 6.738652670383453724e-01 7.487500000000000266e-01
1.600000000000000000e+01 5.579244697093963534e-01 7.765625000000000444e-01 5.982916319370269465e-01 7.612499999999999822e-01
1.700000000000000000e+01 5.631898789107799841e-01 7.806250000000000133e-01 5.948977386951446178e-01 7.600000000000000089e-01
1.800000000000000000e+01 5.432970163226127358e-01 7.765625000000000444e-01 6.058432126045226740e-01 7.462499999999999689e-01
1.900000000000000000e+01 5.484884789586067511e-01 7.778125000000000178e-01 6.410652589797973810e-01 7.375000000000000444e-01
2.000000000000000000e+01 5.224701815843582065e-01 7.887499999999999512e-01 5.542839217185974166e-01 7.674999999999999600e-01
2.100000000000000000e+01 5.205276557803153459e-01 7.915624999999999467e-01 6.113806509971618786e-01 7.612499999999999822e-01
2.200000000000000000e+01 4.840057179331779258e-01 8.118750000000000133e-01 6.160318243503570823e-01 7.662499999999999867e-01
2.300000000000000000e+01 4.884197686612605782e-01 8.090625000000000178e-01 6.334841346740722745e-01 7.574999999999999512e-01
2.400000000000000000e+01 4.833680242300033569e-01 8.109374999999999778e-01 5.928840005397796320e-01 7.862500000000000044e-01
2.500000000000000000e+01 4.665480110049247675e-01 8.134375000000000355e-01 5.956486332416534024e-01 7.662499999999999867e-01
2.600000000000000000e+01 4.667455039918422810e-01 8.156250000000000444e-01 6.088469815254211603e-01 7.624999999999999556e-01
2.700000000000000000e+01 4.611926223337650121e-01 8.175000000000000044e-01 6.436820125579834073e-01 7.574999999999999512e-01
2.800000000000000000e+01 4.469336318969726607e-01 8.218750000000000222e-01 6.044205260276794833e-01 7.824999999999999734e-01
2.900000000000000000e+01 4.403386963903904161e-01 8.281250000000000000e-01 6.300133824348449485e-01 7.712499999999999911e-01
3.000000000000000000e+01 4.299183028936386375e-01 8.271874999999999645e-01 5.621015429496765137e-01 7.874999999999999778e-01
3.100000000000000000e+01 4.223484104871749745e-01 8.293749999999999734e-01 5.727496230602264760e-01 7.812500000000000000e-01
3.200000000000000000e+01 4.037956832349300362e-01 8.406249999999999556e-01 6.521565175056457386e-01 7.524999999999999467e-01
3.300000000000000000e+01 4.060004904866218456e-01 8.318750000000000311e-01 5.999823296070099232e-01 7.737500000000000488e-01
3.400000000000000000e+01 3.912899123132229096e-01 8.475000000000000311e-01 5.611172127723693670e-01 7.724999999999999645e-01
3.500000000000000000e+01 3.943883080035447963e-01 8.431250000000000133e-01 5.805050641298293845e-01 7.812500000000000000e-01
3.600000000000000000e+01 4.028485992550849826e-01 8.506249999999999645e-01 6.039138162136077348e-01 7.674999999999999600e-01
3.700000000000000000e+01 3.729343765974044711e-01 8.565625000000000044e-01 7.087219643592834739e-01 7.399999999999999911e-01
3.800000000000000000e+01 3.679873427748679982e-01 8.606249999999999734e-01 6.148170495033263849e-01 7.587500000000000355e-01
3.900000000000000000e+01 3.572327177226543582e-01 8.599999999999999867e-01 5.920519959926605624e-01 7.887499999999999512e-01
4.000000000000000000e+01 3.537228780984878473e-01 8.668749999999999512e-01 5.833984339237212602e-01 7.950000000000000400e-01
4.100000000000000000e+01 3.550114414095878468e-01 8.646875000000000533e-01 6.054847300052642600e-01 7.750000000000000222e-01
4.200000000000000000e+01 3.458137101680040515e-01 8.681250000000000355e-01 5.114864051342010720e-01 7.987499999999999600e-01
4.300000000000000000e+01 3.160320146381854767e-01 8.796874999999999556e-01 5.463083434104919478e-01 8.112500000000000266e-01
4.400000000000000000e+01 3.112938948720693766e-01 8.859375000000000444e-01 5.986537456512450728e-01 7.837499999999999467e-01
4.500000000000000000e+01 3.232327629625797449e-01 8.634374999999999689e-01 5.708154308795928555e-01 8.074999999999999956e-01
4.600000000000000000e+01 3.055528539419174461e-01 8.793750000000000178e-01 5.700710403919220237e-01 7.950000000000000400e-01
4.700000000000000000e+01 3.170519172400236285e-01 8.771875000000000089e-01 5.393227994441985862e-01 8.074999999999999956e-01
4.800000000000000000e+01 3.114665783196687854e-01 8.778124999999999956e-01 6.217931461334228471e-01 7.724999999999999645e-01
4.900000000000000000e+01 2.701809936761855879e-01 8.962499999999999911e-01 7.270021849870681452e-01 7.562499999999999778e-01
