# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
0.000000000000000000e+00 1.539014590978622365e+00 3.370312500000000044e-01 9.892123579978943093e-01 5.762500000000000400e-01 1.000000000000000056e-01 4.799999999999999822e-01 8.924999999999999600e-01 5.975000000000000311e-01 3.350000000000000200e-01
1.000000000000000000e+00 1.184342168867588141e+00 4.735937499999999800e-01 9.021412986516952337e-01 6.487500000000000488e-01 1.000000000000000056e-01 7.025000000000000133e-01 7.550000000000000044e-01 4.450000000000000067e-01 6.925000000000000044e-01
2.000000000000000000e+00 1.110357977151870790e+00 5.276562500000000488e-01 8.089049291610718173e-01 6.750000000000000444e-01 1.000000000000000056e-01 7.175000000000000266e-01 7.600000000000000089e-01 5.699999999999999512e-01 6.524999999999999689e-01
3.000000000000000000e+00 1.081228915750980457e+00 5.412500000000000089e-01 8.031588169932365462e-01 6.743749999999999467e-01 1.000000000000000056e-01 5.024999999999999467e-01 8.100000000000000533e-01 8.000000000000000444e-01 5.849999999999999645e-01
4.000000000000000000e+00 1.022414616644382379e+00 5.679687500000000222e-01 7.757542037963867099e-01 6.931249999999999911e-01 1.000000000000000056e-01 6.225000000000000533e-01 8.599999999999999867e-01 5.725000000000000089e-01 7.175000000000000266e-01
5.000000000000000000e+00 9.970941650867461981e-01 5.848437499999999956e-01 7.694075959920883001e-01 7.031250000000000000e-01 1.000000000000000056e-01 5.424999999999999822e-01 9.000000000000000222e-01 6.225000000000000533e-01 7.475000000000000533e-01
6.000000000000000000e+00 9.765040227770804826e-01 5.951562500000000533e-01 7.227739349007606950e-01 7.131250000000000089e-01 1.000000000000000056e-01 6.975000000000000089e-01 8.900000000000000133e-01 6.075000000000000400e-01 6.574999999999999734e-01
7.000000000000000000e+00 9.439843341708182844e-01 6.048437500000000133e-01 7.477566820383071411e-01 6.943749999999999645e-01 1.000000000000000056e-01 9.024999999999999689e-01 8.599999999999999867e-01 3.449999999999999734e-01 6.700000000000000400e-01
8.000000000000000000e+00 9.298493233323097407e-01 6.092187500000000311e-01 6.335972998663783606e-01 7.431250000000000355e-01 1.000000000000000056e-01 7.299999999999999822e-01 9.475000000000000089e-01 5.450000000000000400e-01 7.500000000000000000e-01
9.000000000000000000e+00 9.090291863679885731e-01 6.178124999999999867e-01 6.904805888980627415e-01 7.312499999999999556e-01 1.000000000000000056e-01 7.025000000000000133e-01 9.699999999999999734e-01 4.400000000000000022e-01 8.125000000000000000e-01
1.000000000000000000e+01 8.714699187874793695e-01 6.382812500000000222e-01 6.649655750393868026e-01 7.512499999999999734e-01 1.000000000000000056e-01 7.349999999999999867e-01 8.275000000000000133e-01 7.049999999999999600e-01 7.375000000000000444e-01
1.100000000000000000e+01 8.629918801784515203e-01 6.439062500000000133e-01 6.105893032625318018e-01 7.512499999999999734e-01 1.000000000000000056e-01 6.899999999999999467e-01 9.150000000000000355e-01 5.500000000000000444e-01 8.499999999999999778e-01
1.200000000000000000e+01 8.424631711840629977e-01 6.490624999999999867e-01 5.876718161255121142e-01 7.781249999999999556e-01 1.000000000000000056e-01 7.149999999999999689e-01 9.675000000000000266e-01 6.800000000000000488e-01 7.500000000000000000e-01
1.300000000000000000e+01 8.250791200995445385e-01 6.660937500000000400e-01 5.867416486144065857e-01 7.693750000000000311e-01 1.000000000000000056e-01 7.600000000000000089e-01 9.425000000000000044e-01 5.400000000000000355e-01 8.349999999999999645e-01
1.400000000000000000e+01 8.177288030087948023e-01 6.634375000000000133e-01 5.775708336383104102e-01 7.850000000000000311e-01 1.000000000000000056e-01 7.874999999999999778e-01 9.649999999999999689e-01 6.774999999999999911e-01 7.099999999999999645e-01
1.500000000000000000e+01 7.885046955943108005e-01 6.660937500000000400e-01 5.911022675782442448e-01 7.793750000000000400e-01 1.000000000000000056e-01 7.500000000000000000e-01 8.649999999999999911e-01 8.050000000000000488e-01 6.975000000000000089e-01
1.600000000000000000e+01 7.759606431424618256e-01 6.739062500000000400e-01 5.734863416850566331e-01 7.781249999999999556e-01 1.000000000000000056e-01 6.574999999999999734e-01 9.575000000000000178e-01 7.974999999999999867e-01 6.999999999999999556e-01
1.700000000000000000e+01 7.667601530253886910e-01 6.818750000000000089e-01 5.490722882747650635e-01 7.800000000000000266e-01 1.000000000000000056e-01 7.475000000000000533e-01 8.824999999999999512e-01 8.525000000000000355e-01 6.374999999999999556e-01
1.800000000000000000e+01 7.348824454843998488e-01 6.976562499999999778e-01 5.400422202423215134e-01 7.893750000000000488e-01 1.000000000000000056e-01 8.000000000000000444e-01 9.775000000000000355e-01 5.524999999999999911e-01 8.275000000000000133e-01
1.900000000000000000e+01 7.274544666707515317e-01 7.032812499999999689e-01 4.904269517213106222e-01 8.012500000000000178e-01 1.000000000000000056e-01 7.824999999999999734e-01 9.150000000000000355e-01 7.275000000000000355e-01 7.800000000000000266e-01
2.000000000000000000e+01 7.117023172974586975e-01 7.096875000000000266e-01 5.195595249533653259e-01 8.074999999999999956e-01 1.000000000000000056e-01 8.275000000000000133e-01 9.050000000000000266e-01 7.275000000000000355e-01 7.700000000000000178e-01
2.100000000000000000e+01 7.060468247532845076e-01 7.112500000000000488e-01 5.178291020914912446e-01 7.850000000000000311e-01 1.000000000000000056e-01 8.000000000000000444e-01 9.224999999999999867e-01 5.324999999999999734e-01 8.850000000000000089e-01
2.200000000000000000e+01 6.947619634866714078e-01 7.171874999999999778e-01 4.208007375895976843e-01 8.512499999999999512e-01 1.000000000000000056e-01 8.549999999999999822e-01 9.449999999999999512e-01 7.850000000000000311e-01 8.199999999999999512e-01
2.300000000000000000e+01 6.715423817932605344e-01 7.271874999999999867e-01 4.568382846564054689e-01 8.249999999999999556e-01 1.000000000000000056e-01 8.199999999999999512e-01 9.425000000000000044e-01 7.500000000000000000e-01 7.874999999999999778e-01
2.400000000000000000e+01 6.718259949982166024e-01 7.265625000000000000e-01 5.702872094511985956e-01 7.737500000000000488e-01 1.000000000000000056e-01 6.450000000000000178e-01 9.100000000000000311e-01 9.100000000000000311e-01 6.300000000000000044e-01
2.500000000000000000e+01 6.558630558848380643e-01 7.362499999999999600e-01 4.188291437737643452e-01 8.262500000000000400e-01 1.000000000000000056e-01 7.800000000000000266e-01 9.775000000000000355e-01 7.750000000000000222e-01 7.724999999999999645e-01
2.600000000000000000e+01 6.374587692320347054e-01 7.429687499999999556e-01 4.590801578573882602e-01 8.237499999999999822e-01 1.000000000000000056e-01 9.150000000000000355e-01 9.749999999999999778e-01 6.875000000000000000e-01 7.175000000000000266e-01
2.700000000000000000e+01 6.278367610275745747e-01 7.468749999999999556e-01 4.633684657514095528e-01 8.225000000000000089e-01 1.000000000000000056e-01 7.850000000000000311e-01 9.699999999999999734e-01 6.674999999999999822e-01 8.675000000000000488e-01
2.800000000000000000e+01 6.157703483104706166e-01 7.564062499999999467e-01 4.647295539779588425e-01 8.275000000000000133e-01 1.000000000000000056e-01 8.125000000000000000e-01 9.675000000000000266e-01 6.149999999999999911e-01 9.150000000000000355e-01
2.900000000000000000e+01 5.994264034926891638e-01 7.587500000000000355e-01 4.022934619802981393e-01 8.456249999999999600e-01 1.000000000000000056e-01 8.625000000000000444e-01 9.699999999999999734e-01 8.050000000000000488e-01 7.449999999999999956e-01
3.000000000000000000e+01 6.119466958940029677e-01 7.567187499999999956e-01 4.333443468704353818e-01 8.312500000000000444e-01 1.000000000000000056e-01 7.950000000000000400e-01 9.775000000000000355e-01 8.074999999999999956e-01 7.449999999999999956e-01
3.100000000000000000e+01 5.882116915285586778e-01 7.654687500000000311e-01 4.585218483209609897e-01 8.218750000000000222e-01 1.000000000000000056e-01 7.650000000000000133e-01 8.800000000000000044e-01 8.100000000000000533e-01 8.325000000000000178e-01
3.200000000000000000e+01 5.814384123682976302e-01 7.714062499999999600e-01 4.057570419227704561e-01 8.356249999999999512e-01 1.000000000000000056e-01 7.750000000000000222e-01 9.775000000000000355e-01 7.025000000000000133e-01 8.874999999999999556e-01
3.300000000000000000e+01 5.915913207828998877e-01 7.626562500000000355e-01 3.834678661078214645e-01 8.518750000000000488e-01 1.000000000000000056e-01 8.499999999999999778e-01 9.375000000000000000e-01 8.299999999999999600e-01 7.900000000000000355e-01
3.400000000000000000e+01 5.715214544534683583e-01 7.709375000000000533e-01 3.954938732460140938e-01 8.487500000000000044e-01 1.000000000000000056e-01 8.750000000000000000e-01 9.499999999999999556e-01 8.625000000000000444e-01 7.075000000000000178e-01
3.500000000000000000e+01 5.612334121763705719e-01 7.742187499999999556e-01 3.648655738681554905e-01 8.481250000000000178e-01 1.000000000000000056e-01 8.349999999999999645e-01 9.599999999999999645e-01 7.674999999999999600e-01 8.299999999999999600e-01
3.600000000000000000e+01 5.554857973754405709e-01 7.789062500000000222e-01 4.061620315164327644e-01 8.462499999999999467e-01 1.000000000000000056e-01 8.249999999999999556e-01 9.274999999999999911e-01 7.500000000000000000e-01 8.824999999999999512e-01
3.700000000000000000e+01 5.565904985368251845e-01 7.746874999999999734e-01 4.066894688410684355e-01 8.387499999999999956e-01 1.000000000000000056e-01 8.850000000000000089e-01 9.625000000000000222e-01 6.250000000000000000e-01 8.824999999999999512e-01
3.800000000000000000e+01 5.383697387576102944e-01 7.839062500000000266e-01 3.832455414161086149e-01 8.449999999999999734e-01 1.000000000000000056e-01 8.675000000000000488e-01 9.549999999999999600e-01 8.900000000000000133e-01 6.674999999999999822e-01
3.900000000000000000e+01 5.232679937779903812e-01 7.937499999999999556e-01 4.051466509239980973e-01 8.475000000000000311e-01 1.000000000000000056e-01 9.224999999999999867e-01 9.849999999999999867e-01 6.524999999999999689e-01 8.299999999999999600e-01
4.000000000000000000e+01 5.171465456485748735e-01 7.939062500000000355e-01 4.661046615242958047e-01 8.331250000000000044e-01 1.000000000000000056e-01 9.124999999999999778e-01 9.375000000000000000e-01 8.750000000000000000e-01 6.075000000000000400e-01
4.100000000000000000e+01 5.107845482975243989e-01 7.989062500000000400e-01 3.630753818619996132e-01 8.537500000000000089e-01 1.000000000000000056e-01 8.425000000000000266e-01 9.649999999999999689e-01 7.199999999999999734e-01 8.874999999999999556e-01
