# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
0.000000000000000000e+00 1.492888521552085956e+00 3.471874999999999822e-01 1.304850084781646657e+00 4.231249999999999734e-01 1.000000000000000056e-01 5.074999999999999512e-01 2.750000000000000222e-01 8.874999999999999556e-01 2.249999999999999917e-02
1.000000000000000000e+00 1.216363458037376333e+00 4.439062500000000022e-01 9.759682953357696755e-01 5.606250000000000400e-01 1.000000000000000056e-01 4.500000000000000111e-01 6.175000000000000488e-01 4.224999999999999867e-01 7.524999999999999467e-01
2.000000000000000000e+00 1.141450506746768845e+00 4.973437499999999734e-01 9.763616001605988082e-01 6.068750000000000533e-01 1.000000000000000056e-01 6.800000000000000488e-01 4.575000000000000178e-01 6.474999999999999645e-01 6.424999999999999600e-01
3.000000000000000000e+00 1.084635319709777779e+00 5.326562500000000533e-01 8.415382778644562300e-01 6.581249999999999600e-01 1.000000000000000056e-01 7.500000000000000000e-01 6.075000000000000400e-01 5.875000000000000222e-01 6.875000000000000000e-01
4.000000000000000000e+00 1.041523711979389200e+00 5.537499999999999645e-01 8.247996842861176070e-01 6.768750000000000044e-01 1.000000000000000056e-01 6.550000000000000266e-01 7.750000000000000222e-01 6.049999999999999822e-01 6.724999999999999867e-01
5.000000000000000000e+00 1.013340899944305429e+00 5.735937500000000133e-01 7.443349421024322288e-01 6.856250000000000400e-01 1.000000000000000056e-01 7.449999999999999956e-01 8.149999999999999467e-01 7.299999999999999822e-01 4.525000000000000133e-01
6.000000000000000000e+00 9.812654221057891535e-01 5.882812499999999778e-01 7.467373998463153750e-01 6.987499999999999822e-01 1.000000000000000056e-01 5.224999999999999645e-01 9.449999999999999512e-01 7.175000000000000266e-01 6.099999999999999867e-01
7.000000000000000000e+00 9.537944844365120467e-01 5.978124999999999689e-01 9.151770514249801813e-01 6.637499999999999512e-01 1.000000000000000056e-01 6.450000000000000178e-01 8.325000000000000178e-01 8.074999999999999956e-01 3.699999999999999956e-01
8.000000000000000000e+00 9.376672849059104475e-01 6.029687500000000533e-01 6.222422398999333248e-01 7.462499999999999689e-01 1.000000000000000056e-01 7.449999999999999956e-01 9.300000000000000488e-01 6.724999999999999867e-01 6.374999999999999556e-01
9.000000000000000000e+00 9.080143889784813016e-01 6.239062499999999956e-01 7.340014514327048989e-01 7.106249999999999512e-01 1.000000000000000056e-01 7.049999999999999600e-01 8.699999999999999956e-01 7.600000000000000089e-01 5.074999999999999512e-01
1.000000000000000000e+01 9.016660307347774683e-01 6.140624999999999556e-01 6.216256429255008209e-01 7.568749999999999645e-01 1.000000000000000056e-01 7.425000000000000488e-01 9.599999999999999645e-01 5.550000000000000488e-01 7.700000000000000178e-01
1.100000000000000000e+01 8.801080650091170909e-01 6.298437500000000355e-01 6.154677498340607178e-01 7.618749999999999689e-01 1.000000000000000056e-01 8.349999999999999645e-01 8.475000000000000311e-01 6.450000000000000178e-01 7.199999999999999734e-01
1.200000000000000000e+01 8.569910763204098281e-01 6.451562499999999867e-01 6.345445129275322227e-01 7.593750000000000222e-01 1.000000000000000056e-01 7.275000000000000355e-01 8.649999999999999911e-01 6.674999999999999822e-01 7.774999999999999689e-01
1.300000000000000000e+01 8.439745873212813887e-01 6.582812500000000400e-01 6.611360187828541068e-01 7.531250000000000444e-01 1.000000000000000056e-01 6.999999999999999556e-01 9.300000000000000488e-01 5.500000000000000444e-01 8.325000000000000178e-01
1.400000000000000000e+01 8.343806287646293729e-01 6.589062500000000266e-01 5.799631479009985657e-01 7.674999999999999600e-01 1.000000000000000056e-01 7.025000000000000133e-01 9.675000000000000266e-01 5.699999999999999512e-01 8.299999999999999600e-01
1.500000000000000000e+01 8.238540351390838401e-01 6.595312500000000133e-01 7.310943973064422119e-01 7.231250000000000178e-01 1.000000000000000056e-01 8.449999999999999734e-01 6.975000000000000089e-01 5.649999999999999467e-01 7.850000000000000311e-01
1.600000000000000000e+01 8.062994197010994180e-01 6.674999999999999822e-01 6.493985170125960993e-01 7.481250000000000400e-01 1.000000000000000056e-01 7.299999999999999822e-01 8.675000000000000488e-01 5.649999999999999467e-01 8.299999999999999600e-01
1.700000000000000000e+01 7.813386775553226027e-01 6.809374999999999734e-01 5.592148194741457523e-01 7.843750000000000444e-01 1.000000000000000056e-01 7.175000000000000266e-01 9.599999999999999645e-01 7.475000000000000533e-01 7.125000000000000222e-01
1.800000000000000000e+01 7.714024077355862152e-01 6.839062500000000488e-01 5.288232963066548109e-01 7.931249999999999689e-01 1.000000000000000056e-01 8.349999999999999645e-01 9.699999999999999734e-01 6.724999999999999867e-01 6.949999999999999512e-01
1.900000000000000000e+01 7.614037290215491804e-01 6.873437500000000311e-01 8.852954553440213203e-01 6.700000000000000400e-01 1.000000000000000056e-01 3.425000000000000266e-01 9.350000000000000533e-01 6.624999999999999778e-01 7.399999999999999911e-01
2.000000000000000000e+01 7.470468047261238365e-01 6.982812499999999645e-01 5.853363357903436093e-01 7.693750000000000311e-01 1.000000000000000056e-01 5.899999999999999689e-01 9.625000000000000222e-01 7.524999999999999467e-01 7.724999999999999645e-01
2.100000000000000000e+01 7.261745372414588617e-01 7.057812500000000266e-01 5.983442026004195391e-01 7.762499999999999956e-01 1.000000000000000056e-01 7.524999999999999467e-01 9.775000000000000355e-01 7.524999999999999467e-01 6.225000000000000533e-01
2.200000000000000000e+01 7.215882354974746393e-01 7.092187500000000089e-01 5.777143642306328264e-01 7.662499999999999867e-01 1.000000000000000056e-01 6.225000000000000533e-01 9.250000000000000444e-01 7.299999999999999822e-01 7.874999999999999778e-01
2.300000000000000000e+01 7.133711186051369113e-01 7.126562499999999911e-01 5.484752378240227433e-01 7.943750000000000533e-01 1.000000000000000056e-01 6.524999999999999689e-01 9.725000000000000311e-01 6.925000000000000044e-01 8.599999999999999867e-01
2.400000000000000000e+01 6.923036564886569932e-01 7.185937500000000311e-01 5.027167862653731945e-01 7.987499999999999600e-01 1.000000000000000056e-01 7.624999999999999556e-01 9.050000000000000266e-01 6.450000000000000178e-01 8.824999999999999512e-01
2.500000000000000000e+01 6.677191118896007582e-01 7.270312500000000178e-01 4.725231534242629872e-01 8.081249999999999822e-01 1.000000000000000056e-01 8.225000000000000089e-01 8.425000000000000266e-01 8.050000000000000488e-01 7.624999999999999556e-01
2.600000000000000000e+01 6.674475686252117068e-01 7.276562500000000044e-01 4.138574282079934830e-01 8.381250000000000089e-01 1.000000000000000056e-01 8.349999999999999645e-01 9.124999999999999778e-01 7.824999999999999734e-01 8.225000000000000089e-01
2.700000000000000000e+01 6.601476567983627364e-01 7.371874999999999956e-01 4.410144042037427159e-01 8.349999999999999645e-01 1.000000000000000056e-01 8.325000000000000178e-01 9.575000000000000178e-01 8.299999999999999600e-01 7.199999999999999734e-01
2.800000000000000000e+01 6.645090351998805822e-01 7.260937499999999822e-01 4.499738462641835191e-01 8.381250000000000089e-01 1.000000000000000056e-01 8.800000000000000044e-01 9.725000000000000311e-01 7.600000000000000089e-01 7.399999999999999911e-01
2.900000000000000000e+01 6.380860477685927901e-01 7.437500000000000222e-01 5.069206064939498768e-01 8.031249999999999778e-01 1.000000000000000056e-01 7.924999999999999822e-01 9.174999999999999822e-01 8.800000000000000044e-01 6.225000000000000533e-01
3.000000000000000000e+01 6.234101250767707381e-01 7.460937500000000000e-01 4.798885026946663745e-01 8.043749999999999512e-01 1.000000000000000056e-01 7.449999999999999956e-01 9.625000000000000222e-01 8.874999999999999556e-01 6.225000000000000533e-01
3.100000000000000000e+01 6.273331786692142309e-01 7.460937500000000000e-01 4.273049190826714305e-01 8.387499999999999956e-01 1.000000000000000056e-01 7.824999999999999734e-01 9.599999999999999645e-01 8.649999999999999911e-01 7.475000000000000533e-01
3.200000000000000000e+01 6.109149608016014588e-01 7.546874999999999556e-01 4.317442514374852380e-01 8.312500000000000444e-01 1.000000000000000056e-01 8.125000000000000000e-01 9.699999999999999734e-01 8.950000000000000178e-01 6.474999999999999645e-01
3.300000000000000000e+01 5.973514237999916210e-01 7.590624999999999734e-01 3.597930330224335393e-01 8.612499999999999600e-01 1.000000000000000056e-01 8.774999999999999467e-01 9.799999999999999822e-01 7.674999999999999600e-01 8.199999999999999512e-01
3.400000000000000000e+01 5.932752262055873693e-01 7.607812499999999645e-01 4.486312889284454486e-01 8.368750000000000355e-01 1.000000000000000056e-01 9.050000000000000266e-01 9.875000000000000444e-01 8.125000000000000000e-01 6.424999999999999600e-01
3.500000000000000000e+01 5.591591759026051101e-01 7.684374999999999956e-01 4.375274776853620984e-01 8.481250000000000178e-01 1.000000000000000056e-01 7.475000000000000533e-01 9.625000000000000222e-01 7.600000000000000089e-01 9.224999999999999867e-01
3.600000000000000000e+01 5.590226127207279516e-01 7.743750000000000355e-01 4.069161510467529386e-01 8.287499999999999867e-01 1.000000000000000056e-01 6.650000000000000355e-01 9.499999999999999556e-01 8.475000000000000311e-01 8.525000000000000355e-01
3.700000000000000000e+01 5.720366126298904730e-01 7.709375000000000533e-01 4.202052453532815202e-01 8.268750000000000266e-01 1.000000000000000056e-01 7.375000000000000444e-01 9.775000000000000355e-01 9.124999999999999778e-01 6.800000000000000488e-01
3.800000000000000000e+01 5.475861684978008403e-01 7.793750000000000400e-01 3.975008595408871526e-01 8.481250000000000178e-01 1.000000000000000056e-01 8.399999999999999689e-01 9.775000000000000355e-01 8.924999999999999600e-01 6.824999999999999956e-01
3.900000000000000000e+01 5.475994555652141660e-01 7.798437499999999467e-01 4.399735323339700743e-01 8.293749999999999734e-01 1.000000000000000056e-01 8.074999999999999956e-01 9.575000000000000178e-01 9.050000000000000266e-01 6.474999999999999645e-01
4.000000000000000000e+01 5.371202243864536818e-01 7.870312499999999600e-01 3.924337374046444893e-01 8.375000000000000222e-01 1.000000000000000056e-01 8.275000000000000133e-01 9.475000000000000089e-01 7.025000000000000133e-01 8.725000000000000533e-01
4.100000000000000000e+01 5.327195933461189581e-01 7.934375000000000178e-01 3.468952959123998703e-01 8.625000000000000444e-01 1.000000000000000056e-01 7.750000000000000222e-01 9.775000000000000355e-01 8.900000000000000133e-01 8.074999999999999956e-01
4.200000000000000000e+01 5.182976452261209843e-01 7.920312499999999645e-01 4.694503517402335846e-01 8.237499999999999822e-01 1.000000000000000056e-01 6.650000000000000355e-01 9.799999999999999822e-01 9.525000000000000133e-01 6.975000000000000089e-01
4.300000000000000000e+01 5.032705195993184555e-01 8.006250000000000311e-01 3.806533585023135213e-01 8.581250000000000266e-01 1.000000000000000056e-01 8.850000000000000089e-01 9.725000000000000311e-01 9.050000000000000266e-01 6.700000000000000400e-01
4.400000000000000000e+01 5.146668523550033125e-01 7.943750000000000533e-01 3.491982147842645490e-01 8.556249999999999689e-01 1.000000000000000056e-01 9.050000000000000266e-01 9.749999999999999778e-01 6.049999999999999822e-01 9.375000000000000000e-01
4.500000000000000000e+01 5.154919102042913037e-01 7.934375000000000178e-01 3.594890867266803958e-01 8.599999999999999867e-01 1.000000000000000056e-01 8.750000000000000000e-01 9.599999999999999645e-01 8.675000000000000488e-01 7.375000000000000444e-01
4.600000000000000000e+01 4.960251746326684863e-01 8.006250000000000311e-01 4.007479402530589319e-01 8.531250000000000222e-01 1.000000000000000056e-01 9.250000000000000444e-01 9.899999999999999911e-01 7.974999999999999867e-01 6.999999999999999556e-01
4.700000000000000000e+01 4.853120730072260081e-01 8.084375000000000311e-01 3.584526643599383333e-01 8.625000000000000444e-01 1.000000000000000056e-01 8.499999999999999778e-01 9.799999999999999822e-01 9.024999999999999689e-01 7.175000000000000266e-01
4.800000000000000000e+01 4.858140149712562583e-01 8.034375000000000266e-01 3.136547294247429840e-01 8.706249999999999822e-01 1.000000000000000056e-01 8.299999999999999600e-01 9.725000000000000311e-01 8.249999999999999556e-01 8.549999999999999822e-01
4.900000000000000000e+01 4.847277417778969033e-01 8.073437500000000266e-01 3.520649122037138867e-01 8.706249999999999822e-01 1.000000000000000056e-01 9.024999999999999689e-01 9.949999999999999956e-01 7.500000000000000000e-01 8.349999999999999645e-01
5.000000000000000000e+01 4.794723783433437192e-01 8.126562499999999689e-01 3.142421726952306926e-01 8.831250000000000488e-01 1.000000000000000056e-01 8.675000000000000488e-01 9.925000000000000488e-01 7.750000000000000222e-01 8.974999999999999645e-01
5.100000000000000000e+01 4.662032680958509423e-01 8.167187500000000488e-01 3.050815090537071228e-01 8.837500000000000355e-01 1.000000000000000056e-01 9.050000000000000266e-01 9.375000000000000000e-01 8.299999999999999600e-01 8.625000000000000444e-01
