# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.000000000000000000e+00 1.923684098517673524e+00 3.353400000000000269e-01 1.579595819068031259e+00 4.329000000000000070e-01 1.000000000000000056e-01 0.000000000000000000e+00 1.509999999999999953e-01 3.449999999999999734e-01 2.300000000000000100e-01 5.099999999999999672e-02 2.750000000000000222e-01 6.879999999999999449e-01 3.180000000000000049e-01 8.020000000000000462e-01 7.610000000000000098e-01 7.079999999999999627e-01
2.000000000000000000e+00 1.576769357603174493e+00 5.177399999999999780e-01 1.621920502795198171e+00 4.772000000000000131e-01 1.000000000000000056e-01 0.000000000000000000e+00 4.799999999999999822e-01 4.540000000000000147e-01 2.250000000000000056e-01 1.019999999999999934e-01 3.529999999999999805e-01 7.269999999999999796e-01 2.109999999999999931e-01 8.709999999999999964e-01 7.269999999999999796e-01 6.219999999999999973e-01
3.000000000000000000e+00 1.436637128230782601e+00 5.887000000000000011e-01 8.836429179095612874e-01 6.923000000000000265e-01 1.000000000000000056e-01 0.000000000000000000e+00 6.650000000000000355e-01 8.579999999999999849e-01 3.499999999999999778e-01 5.649999999999999467e-01 5.919999999999999707e-01 6.179999999999999938e-01 8.519999999999999796e-01 7.129999999999999671e-01 8.139999999999999458e-01 8.960000000000000187e-01
4.000000000000000000e+00 1.349301989613933994e+00 6.343999999999999639e-01 8.855675538888754250e-01 7.015000000000000124e-01 1.000000000000000056e-01 0.000000000000000000e+00 6.750000000000000444e-01 9.280000000000000471e-01 5.040000000000000036e-01 2.139999999999999958e-01 4.979999999999999982e-01 8.679999999999999938e-01 8.519999999999999796e-01 7.379999999999999893e-01 8.739999999999999991e-01 8.639999999999999902e-01
5.000000000000000000e+00 1.299098563743415591e+00 6.607199999999999740e-01 8.554718440142683455e-01 7.055000000000000160e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.309999999999999609e-01 9.240000000000000435e-01 6.780000000000000471e-01 6.280000000000000027e-01 4.630000000000000226e-01 4.749999999999999778e-01 8.679999999999999938e-01 6.209999999999999964e-01 9.070000000000000284e-01 6.600000000000000311e-01
6.000000000000000000e+00 1.249048408032684021e+00 6.822399999999999576e-01 8.720738258415137167e-01 7.113000000000000433e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.140000000000000346e-01 9.619999999999999662e-01 3.499999999999999778e-01 6.370000000000000107e-01 6.510000000000000231e-01 4.769999999999999796e-01 8.060000000000000497e-01 7.580000000000000071e-01 8.609999999999999876e-01 6.969999999999999529e-01
7.000000000000000000e+00 1.210762209642108900e+00 7.019600000000000284e-01 8.035776348540577541e-01 7.268999999999999906e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.319999999999999618e-01 9.609999999999999654e-01 7.189999999999999725e-01 4.159999999999999809e-01 6.580000000000000293e-01 5.220000000000000195e-01 9.549999999999999600e-01 7.289999999999999813e-01 7.419999999999999929e-01 7.349999999999999867e-01
8.000000000000000000e+00 1.184976498362198871e+00 7.142800000000000260e-01 6.472027554108311653e-01 7.815999999999999615e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.800000000000000266e-01 8.589999999999999858e-01 6.730000000000000426e-01 5.030000000000000027e-01 7.049999999999999600e-01 8.729999999999999982e-01 8.679999999999999938e-01 7.850000000000000311e-01 8.489999999999999769e-01 9.210000000000000409e-01
9.000000000000000000e+00 1.162710847224627919e+00 7.217200000000000282e-01 6.425079694761636206e-01 7.863999999999999879e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.729999999999999982e-01 9.489999999999999547e-01 6.670000000000000373e-01 6.189999999999999947e-01 6.899999999999999467e-01 5.340000000000000302e-01 8.449999999999999734e-01 9.489999999999999547e-01 8.940000000000000169e-01 8.439999999999999725e-01
1.000000000000000000e+01 1.138360468149947957e+00 7.328400000000000469e-01 5.966732870466031624e-01 8.057999999999999607e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.489999999999999769e-01 9.000000000000000222e-01 6.390000000000000124e-01 6.109999999999999876e-01 7.920000000000000373e-01 6.300000000000000044e-01 9.350000000000000533e-01 9.130000000000000338e-01 8.379999999999999671e-01 9.509999999999999565e-01
1.100000000000000000e+01 1.119890366238199375e+00 7.414199999999999680e-01 6.651669941580714562e-01 7.715999999999999526e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.219999999999999751e-01 8.890000000000000124e-01 7.870000000000000329e-01 8.810000000000000053e-01 6.400000000000000133e-01 6.149999999999999911e-01 5.919999999999999707e-01 8.189999999999999503e-01 8.639999999999999902e-01 9.070000000000000284e-01
1.200000000000000000e+01 1.103682493408444820e+00 7.480200000000000182e-01 5.750641258189472804e-01 8.103000000000000203e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.210000000000000409e-01 9.439999999999999503e-01 6.580000000000000293e-01 4.450000000000000067e-01 7.940000000000000391e-01 8.880000000000000115e-01 8.780000000000000027e-01 8.269999999999999574e-01 8.659999999999999920e-01 8.820000000000000062e-01
1.300000000000000000e+01 1.090870060717838319e+00 7.542799999999999505e-01 5.692729951379398301e-01 8.096999999999999753e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.840000000000000080e-01 9.589999999999999636e-01 6.520000000000000240e-01 7.479999999999999982e-01 9.170000000000000373e-01 5.310000000000000275e-01 8.509999999999999787e-01 7.620000000000000107e-01 9.230000000000000426e-01 8.699999999999999956e-01
