# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.000000000000000000e+00 1.966071392127663575e+00 3.394599999999999840e-01 1.559977169234912697e+00 4.430000000000000049e-01 1.000000000000000056e-01 0.000000000000000000e+00 2.489999999999999991e-01 2.750000000000000222e-01 4.879999999999999893e-01 2.409999999999999920e-01 5.999999999999999778e-01 2.409999999999999920e-01 4.490000000000000102e-01 4.610000000000000209e-01 8.880000000000000115e-01 5.380000000000000338e-01
2.000000000000000000e+00 1.641701856181168484e+00 4.787199999999999789e-01 1.613532299812609372e+00 4.590000000000000191e-01 1.000000000000000056e-01 0.000000000000000000e+00 3.410000000000000253e-01 7.900000000000000355e-01 5.590000000000000524e-01 4.570000000000000173e-01 1.340000000000000080e-01 1.829999999999999960e-01 8.669999999999999929e-01 3.599999999999999867e-01 5.919999999999999707e-01 3.069999999999999951e-01
3.000000000000000000e+00 1.528353803598644367e+00 5.381399999999999517e-01 1.098282007554087780e+00 6.109999999999999876e-01 1.000000000000000056e-01 0.000000000000000000e+00 5.540000000000000480e-01 8.219999999999999529e-01 6.410000000000000142e-01 2.449999999999999956e-01 5.709999999999999520e-01 4.809999999999999831e-01 8.699999999999999956e-01 5.480000000000000426e-01 7.540000000000000036e-01 6.239999999999999991e-01
4.000000000000000000e+00 1.451688014309298058e+00 5.803000000000000380e-01 1.020543777904571403e+00 6.490000000000000213e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.860000000000000320e-01 8.629999999999999893e-01 7.219999999999999751e-01 3.469999999999999751e-01 5.210000000000000187e-01 3.079999999999999960e-01 7.169999999999999707e-01 7.079999999999999627e-01 6.560000000000000275e-01 8.619999999999999885e-01
5.000000000000000000e+00 1.393817567779555677e+00 6.080400000000000249e-01 1.055855556798819261e+00 6.286000000000000476e-01 1.000000000000000056e-01 0.000000000000000000e+00 5.440000000000000391e-01 7.109999999999999654e-01 6.630000000000000338e-01 7.730000000000000204e-01 6.889999999999999458e-01 3.370000000000000218e-01 7.119999999999999662e-01 4.560000000000000164e-01 7.780000000000000249e-01 6.229999999999999982e-01
6.000000000000000000e+00 1.353461121071322992e+00 6.329599999999999671e-01 9.599994432431059321e-01 6.666999999999999593e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.830000000000000293e-01 8.539999999999999813e-01 7.329999999999999849e-01 3.890000000000000124e-01 4.490000000000000102e-01 3.360000000000000209e-01 8.780000000000000027e-01 6.750000000000000444e-01 7.249999999999999778e-01 8.449999999999999734e-01
7.000000000000000000e+00 1.318786086711224659e+00 6.494199999999999973e-01 8.202596680996135925e-01 7.194000000000000394e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.710000000000000187e-01 7.419999999999999929e-01 6.810000000000000497e-01 4.620000000000000218e-01 6.510000000000000231e-01 6.989999999999999547e-01 7.850000000000000311e-01 6.470000000000000195e-01 8.010000000000000453e-01 9.549999999999999600e-01
8.000000000000000000e+00 1.290152255381366242e+00 6.646999999999999575e-01 8.653474632924357257e-01 7.056000000000000050e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.439999999999999947e-01 8.269999999999999574e-01 5.460000000000000409e-01 3.770000000000000018e-01 5.050000000000000044e-01 6.089999999999999858e-01 9.669999999999999707e-01 7.429999999999999938e-01 8.890000000000000124e-01 8.489999999999999769e-01
9.000000000000000000e+00 1.268190216080012034e+00 6.729399999999999826e-01 7.351574093198623983e-01 7.556000000000000494e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.209999999999999520e-01 9.170000000000000373e-01 5.929999999999999716e-01 6.380000000000000115e-01 7.119999999999999662e-01 6.370000000000000107e-01 7.830000000000000293e-01 8.820000000000000062e-01 7.269999999999999796e-01 8.459999999999999742e-01
1.000000000000000000e+01 1.245783833609280133e+00 6.862000000000000322e-01 8.062670864045810015e-01 7.256000000000000227e-01 1.000000000000000056e-01 0.000000000000000000e+00 6.350000000000000089e-01 9.539999999999999591e-01 5.580000000000000515e-01 4.979999999999999982e-01 5.979999999999999760e-01 8.639999999999999902e-01 7.039999999999999591e-01 7.099999999999999645e-01 9.080000000000000293e-01 8.269999999999999574e-01
