# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.000000000000000000e+00 3.089698182949254246e+00 2.136399999999999966e-01 2.090965165878637233e+00 2.464000000000000079e-01 1.000000000000000056e-01 0.000000000000000000e+00 2.530000000000000027e-01 8.329999999999999627e-01 3.200000000000000067e-02 9.299999999999999933e-02 5.199999999999999761e-02 2.059999999999999887e-01 3.200000000000000067e-02 5.160000000000000142e-01 3.370000000000000218e-01 1.100000000000000006e-01
2.000000000000000000e+00 1.973917958298632591e+00 3.013600000000000168e-01 1.733909022693816748e+00 3.652000000000000246e-01 1.000000000000000056e-01 0.000000000000000000e+00 4.949999999999999956e-01 6.139999999999999902e-01 4.700000000000000011e-02 2.129999999999999949e-01 3.029999999999999916e-01 3.119999999999999996e-01 4.789999999999999813e-01 4.660000000000000253e-01 3.950000000000000178e-01 3.280000000000000138e-01
3.000000000000000000e+00 1.941803646713056608e+00 3.151200000000000112e-01 1.710562471764537129e+00 3.669999999999999929e-01 1.000000000000000056e-01 0.000000000000000000e+00 3.240000000000000102e-01 4.060000000000000275e-01 2.069999999999999896e-01 1.990000000000000102e-01 3.290000000000000147e-01 4.869999999999999885e-01 1.980000000000000093e-01 3.980000000000000204e-01 5.639999999999999458e-01 5.580000000000000515e-01
4.000000000000000000e+00 1.923984081258548029e+00 3.299599999999999755e-01 1.694088991838522240e+00 3.860999999999999988e-01 1.000000000000000056e-01 0.000000000000000000e+00 4.600000000000000200e-01 4.159999999999999809e-01 2.200000000000000011e-01 3.079999999999999960e-01 2.260000000000000064e-01 3.459999999999999742e-01 5.000000000000000000e-01 5.030000000000000027e-01 3.539999999999999813e-01 5.280000000000000249e-01
5.000000000000000000e+00 1.908432594340196964e+00 3.376600000000000157e-01 1.696570115729261863e+00 3.808000000000000274e-01 1.000000000000000056e-01 0.000000000000000000e+00 2.819999999999999729e-01 6.089999999999999858e-01 1.789999999999999925e-01 1.749999999999999889e-01 2.099999999999999922e-01 5.699999999999999512e-01 4.189999999999999836e-01 3.820000000000000062e-01 5.180000000000000160e-01 4.640000000000000235e-01
6.000000000000000000e+00 1.892028509388348212e+00 3.460199999999999942e-01 1.620726584626462907e+00 4.051000000000000156e-01 1.000000000000000056e-01 0.000000000000000000e+00 3.790000000000000036e-01 5.310000000000000275e-01 1.630000000000000060e-01 3.880000000000000115e-01 3.230000000000000093e-01 2.300000000000000100e-01 4.119999999999999774e-01 5.180000000000000160e-01 4.859999999999999876e-01 6.209999999999999964e-01
7.000000000000000000e+00 1.886739651895988024e+00 3.497600000000000153e-01 1.621576476401795253e+00 4.032000000000000028e-01 1.000000000000000056e-01 0.000000000000000000e+00 5.330000000000000293e-01 6.570000000000000284e-01 1.039999999999999952e-01 3.459999999999999742e-01 3.609999999999999876e-01 2.929999999999999827e-01 4.709999999999999742e-01 5.070000000000000062e-01 3.489999999999999769e-01 4.109999999999999765e-01
8.000000000000000000e+00 1.876066663672507628e+00 3.536599999999999744e-01 1.634617731974909560e+00 4.057999999999999940e-01 1.000000000000000056e-01 0.000000000000000000e+00 4.030000000000000249e-01 5.340000000000000302e-01 2.010000000000000120e-01 2.660000000000000142e-01 2.530000000000000027e-01 5.590000000000000524e-01 4.149999999999999800e-01 4.169999999999999818e-01 4.949999999999999956e-01 5.150000000000000133e-01
9.000000000000000000e+00 1.870957770182853031e+00 3.592600000000000238e-01 1.640540180114892443e+00 3.992999999999999883e-01 1.000000000000000056e-01 0.000000000000000000e+00 4.149999999999999800e-01 6.750000000000000444e-01 1.340000000000000080e-01 3.760000000000000009e-01 2.670000000000000151e-01 1.559999999999999998e-01 4.969999999999999973e-01 5.649999999999999467e-01 5.370000000000000329e-01 3.709999999999999964e-01
1.000000000000000000e+01 1.868231129203937968e+00 3.604999999999999871e-01 1.584047130121590596e+00 4.182000000000000162e-01 1.000000000000000056e-01 0.000000000000000000e+00 5.160000000000000142e-01 5.560000000000000497e-01 1.759999999999999898e-01 2.489999999999999991e-01 1.859999999999999987e-01 4.259999999999999898e-01 6.630000000000000338e-01 5.370000000000000329e-01 4.430000000000000049e-01 4.299999999999999933e-01
