# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
0.000000000000000000e+00 2.015785817221350307e+00 2.566200000000000148e-01 1.711304814670794316e+00 3.734999999999999987e-01 1.000000000000000056e-01 3.529999999999999805e-01 2.839999999999999747e-01 4.749999999999999778e-01 4.000000000000000083e-03 1.120000000000000023e-01 2.889999999999999791e-01 5.230000000000000204e-01 7.249999999999999778e-01 5.520000000000000462e-01 4.179999999999999827e-01
1.000000000000000000e+00 1.689128639678198374e+00 3.849400000000000044e-01 1.304276662512709128e+00 5.194999999999999618e-01 1.000000000000000056e-01 7.910000000000000364e-01 7.149999999999999689e-01 6.790000000000000480e-01 4.599999999999999922e-02 1.839999999999999969e-01 3.609999999999999876e-01 5.979999999999999760e-01 5.520000000000000462e-01 6.149999999999999911e-01 6.540000000000000258e-01
2.000000000000000000e+00 1.482095553489045647e+00 4.658399999999999763e-01 1.305673448612895582e+00 5.380000000000000338e-01 1.000000000000000056e-01 6.290000000000000036e-01 8.369999999999999662e-01 2.270000000000000073e-01 2.389999999999999902e-01 6.199999999999999956e-01 2.939999999999999836e-01 8.870000000000000107e-01 4.959999999999999964e-01 7.660000000000000142e-01 3.850000000000000089e-01
3.000000000000000000e+00 1.340748385977302615e+00 5.187000000000000499e-01 1.067894492667323059e+00 6.248000000000000220e-01 1.000000000000000056e-01 5.050000000000000044e-01 8.970000000000000195e-01 5.170000000000000151e-01 3.210000000000000075e-01 4.729999999999999760e-01 7.570000000000000062e-01 4.899999999999999911e-01 7.129999999999999671e-01 7.139999999999999680e-01 8.609999999999999876e-01
4.000000000000000000e+00 1.239625145705632425e+00 5.562000000000000277e-01 9.549493989624535661e-01 6.616999999999999549e-01 1.000000000000000056e-01 8.040000000000000480e-01 8.800000000000000044e-01 5.819999999999999618e-01 6.149999999999999911e-01 6.310000000000000053e-01 4.149999999999999800e-01 4.359999999999999987e-01 7.479999999999999982e-01 6.630000000000000338e-01 8.429999999999999716e-01
5.000000000000000000e+00 1.141147211508650283e+00 5.947799999999999754e-01 8.174596717372869525e-01 7.109999999999999654e-01 1.000000000000000056e-01 6.270000000000000018e-01 9.409999999999999476e-01 7.469999999999999973e-01 2.839999999999999747e-01 4.490000000000000102e-01 7.319999999999999840e-01 8.840000000000000080e-01 7.159999999999999698e-01 8.649999999999999911e-01 8.649999999999999911e-01
6.000000000000000000e+00 1.060987154146988853e+00 6.264800000000000368e-01 9.284103711763509459e-01 6.915999999999999925e-01 1.000000000000000056e-01 6.530000000000000249e-01 7.810000000000000275e-01 6.680000000000000382e-01 4.309999999999999942e-01 6.939999999999999503e-01 5.170000000000000151e-01 5.350000000000000311e-01 9.010000000000000231e-01 8.800000000000000044e-01 8.559999999999999831e-01
7.000000000000000000e+00 1.000291807771263031e+00 6.492799999999999683e-01 7.376770585204084352e-01 7.498000000000000220e-01 1.000000000000000056e-01 6.909999999999999476e-01 8.369999999999999662e-01 6.740000000000000435e-01 6.580000000000000293e-01 6.750000000000000444e-01 7.179999999999999716e-01 5.919999999999999707e-01 7.800000000000000266e-01 9.449999999999999512e-01 9.280000000000000471e-01
8.000000000000000000e+00 9.416251617673873087e-01 6.712799999999999878e-01 6.395648779770055636e-01 7.778000000000000469e-01 1.000000000000000056e-01 7.980000000000000426e-01 8.990000000000000213e-01 6.939999999999999503e-01 4.959999999999999964e-01 7.109999999999999654e-01 8.129999999999999449e-01 7.069999999999999618e-01 8.229999999999999538e-01 9.000000000000000222e-01 9.370000000000000551e-01
9.000000000000000000e+00 8.964597907153292189e-01 6.869199999999999751e-01 7.372488543248405524e-01 7.552999999999999714e-01 1.000000000000000056e-01 8.750000000000000000e-01 9.799999999999999822e-01 7.359999999999999876e-01 4.670000000000000262e-01 4.809999999999999831e-01 6.089999999999999858e-01 8.469999999999999751e-01 8.820000000000000062e-01 8.249999999999999556e-01 8.509999999999999787e-01
1.000000000000000000e+01 8.612837448229945236e-01 6.970399999999999929e-01 6.564770325685080898e-01 7.840000000000000302e-01 1.000000000000000056e-01 8.129999999999999449e-01 9.729999999999999760e-01 6.189999999999999947e-01 5.050000000000000044e-01 9.130000000000000338e-01 7.399999999999999911e-01 6.840000000000000524e-01 8.709999999999999964e-01 8.379999999999999671e-01 8.840000000000000080e-01
1.100000000000000000e+01 8.264597441741311501e-01 7.085200000000000387e-01 5.249939881288967491e-01 8.195000000000000062e-01 1.000000000000000056e-01 7.780000000000000249e-01 9.230000000000000426e-01 8.209999999999999520e-01 5.919999999999999707e-01 7.299999999999999822e-01 7.590000000000000080e-01 7.820000000000000284e-01 9.130000000000000338e-01 9.489999999999999547e-01 9.479999999999999538e-01
1.200000000000000000e+01 7.976988774038474839e-01 7.217799999999999772e-01 5.136670970831054284e-01 8.289999999999999591e-01 1.000000000000000056e-01 7.900000000000000355e-01 9.539999999999999591e-01 7.099999999999999645e-01 6.710000000000000409e-01 9.360000000000000542e-01 7.129999999999999671e-01 8.529999999999999805e-01 8.000000000000000444e-01 9.250000000000000444e-01 9.379999999999999449e-01
1.300000000000000000e+01 7.619311685220446773e-01 7.338000000000000078e-01 6.143349674515450332e-01 8.010000000000000453e-01 1.000000000000000056e-01 8.709999999999999964e-01 9.320000000000000506e-01 7.520000000000000018e-01 5.190000000000000169e-01 5.490000000000000435e-01 7.219999999999999751e-01 9.499999999999999556e-01 8.659999999999999920e-01 9.300000000000000488e-01 9.190000000000000391e-01
