# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
0.000000000000000000e+00 1.955056571304531143e+00 3.187800000000000078e-01 1.849787458825035147e+00 4.117000000000000104e-01 1.000000000000000056e-01 4.680000000000000271e-01 3.539999999999999813e-01 2.010000000000000120e-01 6.900000000000000577e-02 1.640000000000000069e-01 4.179999999999999827e-01 7.439999999999999947e-01 4.199999999999999845e-01 6.800000000000000488e-01 5.989999999999999769e-01
1.000000000000000000e+00 1.644607799066920562e+00 4.814399999999999791e-01 1.178056774238428028e+00 5.793000000000000371e-01 1.000000000000000056e-01 4.620000000000000218e-01 8.379999999999999671e-01 3.180000000000000049e-01 6.750000000000000444e-01 5.689999999999999503e-01 2.560000000000000053e-01 7.700000000000000178e-01 5.819999999999999618e-01 6.600000000000000311e-01 6.630000000000000338e-01
2.000000000000000000e+00 1.475427550874454985e+00 5.671000000000000485e-01 1.213625680143459951e+00 6.049999999999999822e-01 1.000000000000000056e-01 7.600000000000000089e-01 7.780000000000000249e-01 5.649999999999999467e-01 4.329999999999999960e-01 4.369999999999999996e-01 3.649999999999999911e-01 6.770000000000000462e-01 5.090000000000000080e-01 8.950000000000000178e-01 6.310000000000000053e-01
3.000000000000000000e+00 1.360956538051500297e+00 6.280400000000000427e-01 8.208727415758200197e-01 7.249999999999999778e-01 1.000000000000000056e-01 7.930000000000000382e-01 8.830000000000000071e-01 5.759999999999999565e-01 4.099999999999999756e-01 5.889999999999999680e-01 7.049999999999999600e-01 9.090000000000000302e-01 7.810000000000000275e-01 7.089999999999999636e-01 8.950000000000000178e-01
4.000000000000000000e+00 1.275187528560501660e+00 6.670800000000000063e-01 7.511327069597883987e-01 7.479999999999999982e-01 1.000000000000000056e-01 5.849999999999999645e-01 8.709999999999999964e-01 6.189999999999999947e-01 5.699999999999999512e-01 7.449999999999999956e-01 7.199999999999999734e-01 7.349999999999999867e-01 7.930000000000000382e-01 9.250000000000000444e-01 9.170000000000000373e-01
5.000000000000000000e+00 1.215852367176280424e+00 6.987200000000000077e-01 6.660994688352457338e-01 7.862999999999999989e-01 1.000000000000000056e-01 8.739999999999999991e-01 8.980000000000000204e-01 5.939999999999999725e-01 6.870000000000000551e-01 7.750000000000000222e-01 7.229999999999999760e-01 6.800000000000000488e-01 8.169999999999999485e-01 8.950000000000000178e-01 9.200000000000000400e-01
6.000000000000000000e+00 1.168618197328222141e+00 7.188999999999999835e-01 6.114753846543284910e-01 8.053000000000000158e-01 1.000000000000000056e-01 8.709999999999999964e-01 9.489999999999999547e-01 7.039999999999999591e-01 6.999999999999999556e-01 8.249999999999999556e-01 7.229999999999999760e-01 8.040000000000000480e-01 7.269999999999999796e-01 9.140000000000000346e-01 8.359999999999999654e-01
7.000000000000000000e+00 1.129426665246600958e+00 7.360999999999999766e-01 7.566611419280115935e-01 7.564999999999999503e-01 1.000000000000000056e-01 7.970000000000000417e-01 8.830000000000000071e-01 6.850000000000000533e-01 4.109999999999999765e-01 6.029999999999999805e-01 6.169999999999999929e-01 9.379999999999999449e-01 7.349999999999999867e-01 9.609999999999999654e-01 9.350000000000000533e-01
8.000000000000000000e+00 1.094786032071421777e+00 7.524800000000000377e-01 5.624080320802359312e-01 8.238999999999999657e-01 1.000000000000000056e-01 8.409999999999999698e-01 9.599999999999999645e-01 7.970000000000000417e-01 5.610000000000000542e-01 7.399999999999999911e-01 8.669999999999999929e-01 8.339999999999999636e-01 8.369999999999999662e-01 9.539999999999999591e-01 8.479999999999999760e-01
9.000000000000000000e+00 1.075394828465987107e+00 7.609000000000000208e-01 5.145883861536415527e-01 8.427000000000000046e-01 1.000000000000000056e-01 8.679999999999999938e-01 9.409999999999999476e-01 7.770000000000000240e-01 6.219999999999999973e-01 8.559999999999999831e-01 8.219999999999999529e-01 7.870000000000000329e-01 8.790000000000000036e-01 9.270000000000000462e-01 9.479999999999999538e-01
