# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.000000000000000000e+00 6.347984437063879382e-01 9.237400000000000055e-01 2.026421982830705626e-01 9.500999999999999446e-01 1.000000000000000021e-02 2.997419357610129897e-01 9.509999999999999565e-01 9.769999999999999796e-01 9.409999999999999476e-01 9.220000000000000417e-01 9.449999999999999512e-01 9.040000000000000258e-01 9.579999999999999627e-01 9.649999999999999689e-01 9.729999999999999760e-01 9.649999999999999689e-01
2.000000000000000000e+00 6.537066675765500490e-01 9.221599999999999797e-01 2.108015914242298006e-01 9.469999999999999529e-01 1.000000000000000021e-02 5.095614250343790674e-01 9.419999999999999485e-01 9.749999999999999778e-01 9.340000000000000524e-01 8.900000000000000133e-01 9.449999999999999512e-01 9.200000000000000400e-01 9.599999999999999645e-01 9.639999999999999680e-01 9.739999999999999769e-01 9.659999999999999698e-01
3.000000000000000000e+00 6.840264589376199300e-01 9.145999999999999686e-01 2.246923093288279993e-01 9.415999999999999925e-01 1.000000000000000021e-02 6.564348437913070100e-01 9.469999999999999529e-01 9.749999999999999778e-01 9.320000000000000506e-01 8.750000000000000000e-01 9.439999999999999503e-01 9.020000000000000240e-01 9.599999999999999645e-01 9.549999999999999600e-01 9.679999999999999716e-01 9.579999999999999627e-01
4.000000000000000000e+00 7.213330015072971779e-01 9.014400000000000190e-01 2.511714046922164378e-01 9.344999999999999973e-01 1.000000000000000021e-02 7.592463622124363543e-01 9.449999999999999512e-01 9.749999999999999778e-01 9.230000000000000426e-01 8.519999999999999796e-01 9.270000000000000462e-01 8.970000000000000195e-01 9.529999999999999583e-01 9.599999999999999645e-01 9.609999999999999654e-01 9.519999999999999574e-01
5.000000000000000000e+00 7.782929281126743648e-01 8.827599999999999891e-01 2.733855867347778079e-01 9.285999999999999810e-01 1.000000000000000021e-02 8.312142103221757949e-01 9.459999999999999520e-01 9.739999999999999769e-01 9.150000000000000355e-01 8.429999999999999716e-01 9.210000000000000409e-01 8.960000000000000187e-01 9.409999999999999476e-01 9.489999999999999547e-01 9.469999999999999529e-01 9.539999999999999591e-01
6.000000000000000000e+00 8.844937908481651512e-01 8.451999999999999513e-01 3.160718211683983259e-01 9.140000000000000346e-01 1.000000000000000021e-02 8.815920440753244325e-01 9.230000000000000426e-01 9.669999999999999707e-01 9.020000000000000240e-01 8.159999999999999476e-01 9.090000000000000302e-01 8.800000000000000044e-01 9.260000000000000453e-01 9.379999999999999449e-01 9.409999999999999476e-01 9.379999999999999449e-01
7.000000000000000000e+00 1.051711109648586717e+00 7.790799999999999947e-01 3.952977973908280984e-01 8.873999999999999666e-01 1.000000000000000021e-02 9.168565277025284566e-01 9.180000000000000382e-01 9.599999999999999645e-01 8.329999999999999627e-01 7.550000000000000044e-01 8.679999999999999938e-01 8.469999999999999751e-01 9.110000000000000320e-01 9.240000000000000435e-01 9.389999999999999458e-01 9.190000000000000391e-01
8.000000000000000000e+00 1.276014292308785381e+00 6.796600000000000419e-01 5.639133644751466168e-01 8.275000000000000133e-01 1.000000000000000021e-02 9.415414156590115047e-01 8.609999999999999876e-01 9.350000000000000533e-01 7.860000000000000320e-01 6.300000000000000044e-01 8.090000000000000524e-01 6.660000000000000364e-01 8.820000000000000062e-01 8.920000000000000151e-01 9.010000000000000231e-01 9.130000000000000338e-01
9.000000000000000000e+00 1.505089083468387878e+00 5.766000000000000014e-01 7.629710098805899676e-01 7.543999999999999595e-01 1.000000000000000021e-02 9.588212310011435813e-01 7.650000000000000133e-01 8.960000000000000187e-01 6.209999999999999964e-01 4.879999999999999893e-01 6.630000000000000338e-01 7.009999999999999565e-01 8.629999999999999893e-01 8.309999999999999609e-01 8.369999999999999662e-01 8.790000000000000036e-01
1.000000000000000000e+01 1.457607885773793521e+00 6.006799999999999917e-01 7.434482202171898146e-01 7.556000000000000494e-01 1.000000000000000021e-02 9.709166721705335679e-01 8.030000000000000471e-01 9.060000000000000275e-01 6.820000000000000506e-01 5.120000000000000107e-01 6.700000000000000400e-01 7.059999999999999609e-01 8.279999999999999583e-01 7.720000000000000195e-01 8.299999999999999600e-01 8.469999999999999751e-01
