# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.000000000000000000e+00 6.404353649244045599e-01 9.224599999999999467e-01 2.034187135628808540e-01 9.503000000000000336e-01 1.000000000000000021e-02 2.997419357610129897e-01 9.529999999999999583e-01 9.769999999999999796e-01 9.370000000000000551e-01 9.120000000000000329e-01 9.370000000000000551e-01 9.080000000000000293e-01 9.679999999999999716e-01 9.659999999999999698e-01 9.749999999999999778e-01 9.699999999999999734e-01
2.000000000000000000e+00 6.404337690987040865e-01 9.222000000000000197e-01 2.003251216567743243e-01 9.500999999999999446e-01 1.000000000000000021e-02 2.997419357610129897e-01 9.489999999999999547e-01 9.769999999999999796e-01 9.360000000000000542e-01 9.080000000000000293e-01 9.459999999999999520e-01 9.110000000000000320e-01 9.659999999999999698e-01 9.669999999999999707e-01 9.739999999999999769e-01 9.669999999999999707e-01
3.000000000000000000e+00 6.534385715092289049e-01 9.212200000000000388e-01 2.082749605297851969e-01 9.466999999999999860e-01 1.000000000000000021e-02 5.095614250343790674e-01 9.409999999999999476e-01 9.719999999999999751e-01 9.409999999999999476e-01 8.880000000000000115e-01 9.429999999999999494e-01 9.070000000000000284e-01 9.649999999999999689e-01 9.689999999999999725e-01 9.729999999999999760e-01 9.679999999999999716e-01
4.000000000000000000e+00 6.447637023944086110e-01 9.219199999999999617e-01 2.096908067980894352e-01 9.478999999999999648e-01 1.000000000000000021e-02 5.095614250343790674e-01 9.449999999999999512e-01 9.789999999999999813e-01 9.399999999999999467e-01 8.860000000000000098e-01 9.499999999999999556e-01 9.110000000000000320e-01 9.699999999999999734e-01 9.589999999999999636e-01 9.729999999999999760e-01 9.659999999999999698e-01
5.000000000000000000e+00 6.816009942225287332e-01 9.133599999999999497e-01 2.267359367574746654e-01 9.422000000000000375e-01 1.000000000000000021e-02 6.564348437913070100e-01 9.499999999999999556e-01 9.739999999999999769e-01 9.270000000000000462e-01 8.850000000000000089e-01 9.429999999999999494e-01 8.990000000000000213e-01 9.559999999999999609e-01 9.599999999999999645e-01 9.749999999999999778e-01 9.529999999999999583e-01
6.000000000000000000e+00 6.621448875274401624e-01 9.178800000000000292e-01 2.211630535773194961e-01 9.438999999999999613e-01 1.000000000000000021e-02 6.564348437913070100e-01 9.519999999999999574e-01 9.739999999999999769e-01 9.320000000000000506e-01 9.020000000000000240e-01 9.459999999999999520e-01 8.920000000000000151e-01 9.489999999999999547e-01 9.649999999999999689e-01 9.659999999999999698e-01 9.609999999999999654e-01
7.000000000000000000e+00 7.143875935751889950e-01 9.038399999999999768e-01 2.452266979546021408e-01 9.372000000000000330e-01 1.000000000000000021e-02 7.592463622124363543e-01 9.499999999999999556e-01 9.709999999999999742e-01 9.230000000000000426e-01 8.669999999999999929e-01 9.419999999999999485e-01 8.990000000000000213e-01 9.559999999999999609e-01 9.449999999999999512e-01 9.649999999999999689e-01 9.539999999999999591e-01
8.000000000000000000e+00 6.931751677605560991e-01 9.094400000000000261e-01 2.419280834472217478e-01 9.384000000000000119e-01 1.000000000000000021e-02 7.592463622124363543e-01 9.479999999999999538e-01 9.759999999999999787e-01 9.160000000000000364e-01 8.679999999999999938e-01 9.350000000000000533e-01 9.100000000000000311e-01 9.499999999999999556e-01 9.529999999999999583e-01 9.699999999999999734e-01 9.579999999999999627e-01
9.000000000000000000e+00 7.730344574343144259e-01 8.859200000000000408e-01 2.714735849644429599e-01 9.298999999999999488e-01 1.000000000000000021e-02 8.312142103221757949e-01 9.350000000000000533e-01 9.739999999999999769e-01 9.060000000000000275e-01 8.559999999999999831e-01 9.270000000000000462e-01 8.820000000000000062e-01 9.609999999999999654e-01 9.539999999999999591e-01 9.589999999999999636e-01 9.449999999999999512e-01
1.000000000000000000e+01 7.280513168296520732e-01 8.968399999999999705e-01 2.655509931686967917e-01 9.316999999999999726e-01 1.000000000000000021e-02 8.312142103221757949e-01 9.399999999999999467e-01 9.699999999999999734e-01 9.110000000000000320e-01 8.249999999999999556e-01 9.290000000000000480e-01 9.030000000000000249e-01 9.639999999999999680e-01 9.549999999999999600e-01 9.629999999999999671e-01 9.569999999999999618e-01
1.100000000000000000e+01 8.917882951573538053e-01 8.422399999999999887e-01 3.046742453933142802e-01 9.131000000000000227e-01 1.000000000000000021e-02 8.815920440753244325e-01 9.140000000000000346e-01 9.699999999999999734e-01 8.820000000000000062e-01 8.080000000000000515e-01 9.140000000000000346e-01 8.800000000000000044e-01 9.220000000000000417e-01 9.449999999999999512e-01 9.539999999999999591e-01 9.419999999999999485e-01
1.200000000000000000e+01 7.887221694907848857e-01 8.791400000000000325e-01 2.832513590114185131e-01 9.211000000000000298e-01 1.000000000000000021e-02 8.815920440753244325e-01 9.360000000000000542e-01 9.689999999999999725e-01 8.790000000000000036e-01 8.319999999999999618e-01 9.180000000000000382e-01 8.860000000000000098e-01 9.399999999999999467e-01 9.429999999999999494e-01 9.539999999999999591e-01 9.539999999999999591e-01
1.300000000000000000e+01 1.100597189697636535e+00 7.590200000000000280e-01 4.230400376236095883e-01 8.833999999999999631e-01 1.000000000000000021e-02 9.168565277025284566e-01 9.190000000000000391e-01 9.459999999999999520e-01 8.409999999999999698e-01 7.269999999999999796e-01 8.739999999999999991e-01 8.379999999999999671e-01 9.180000000000000382e-01 9.260000000000000453e-01 9.210000000000000409e-01 9.240000000000000435e-01
1.400000000000000000e+01 9.044437709711944384e-01 8.380400000000000071e-01 3.696013853763239210e-01 9.028000000000000469e-01 1.000000000000000021e-02 9.168565277025284566e-01 9.220000000000000417e-01 9.659999999999999698e-01 8.459999999999999742e-01 8.269999999999999574e-01 9.060000000000000275e-01 8.419999999999999707e-01 9.180000000000000382e-01 9.370000000000000551e-01 9.280000000000000471e-01 9.360000000000000542e-01
