# epoch train_loss train_accuracy valid_loss valid_accuracy class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
0.000000000000000000e+00 1.033569250106811444e+00 5.506250000000000311e-01 1.751531960964202828e+00 4.437499999999999778e-01 8.500000000000000611e-02 9.899999999999999911e-01 3.499999999999999778e-01 3.499999999999999778e-01
1.000000000000000000e+00 8.468500274419784590e-01 6.409375000000000488e-01 1.052679269313812283e+00 6.237500000000000266e-01 6.999999999999999556e-01 9.200000000000000400e-01 3.350000000000000200e-01 5.400000000000000355e-01
2.000000000000000000e+00 7.495786896348000106e-01 6.881249999999999867e-01 7.875088858604430975e-01 6.637499999999999512e-01 5.949999999999999734e-01 7.800000000000000266e-01 7.249999999999999778e-01 5.550000000000000488e-01
3.000000000000000000e+00 7.191924750804901123e-01 7.062500000000000444e-01 7.406012332439422252e-01 6.824999999999999956e-01 7.750000000000000222e-01 7.500000000000000000e-01 7.650000000000000133e-01 4.400000000000000022e-01
4.000000000000000000e+00 6.569850930571555780e-01 7.378124999999999822e-01 8.076775836944579678e-01 6.774999999999999911e-01 7.600000000000000089e-01 9.399999999999999467e-01 3.699999999999999956e-01 6.400000000000000133e-01
5.000000000000000000e+00 6.503480285406112449e-01 7.299999999999999822e-01 7.397732043266296298e-01 6.887499999999999734e-01 6.450000000000000178e-01 7.249999999999999778e-01 6.600000000000000311e-01 7.249999999999999778e-01
6.000000000000000000e+00 5.918994146585464522e-01 7.581250000000000488e-01 6.743852746486663774e-01 7.199999999999999734e-01 6.949999999999999512e-01 8.599999999999999867e-01 4.849999999999999867e-01 8.399999999999999689e-01
7.000000000000000000e+00 5.652642518281936201e-01 7.693750000000000311e-01 6.815848338603973655e-01 7.262499999999999512e-01 8.199999999999999512e-01 7.550000000000000044e-01 7.550000000000000044e-01 5.749999999999999556e-01
8.000000000000000000e+00 5.426229575276374506e-01 7.800000000000000266e-01 7.200079667568206609e-01 7.062500000000000444e-01 5.000000000000000000e-01 9.200000000000000400e-01 7.099999999999999645e-01 6.949999999999999512e-01
9.000000000000000000e+00 5.015377548336982239e-01 8.028125000000000400e-01 5.896424460411071600e-01 7.662499999999999867e-01 8.100000000000000533e-01 8.649999999999999911e-01 5.949999999999999734e-01 7.950000000000000400e-01
1.000000000000000000e+01 5.056622016429901390e-01 8.024999999999999911e-01 5.765205228328704745e-01 7.662499999999999867e-01 7.349999999999999867e-01 9.200000000000000400e-01 7.099999999999999645e-01 6.999999999999999556e-01
1.100000000000000000e+01 4.707435384392738564e-01 8.096875000000000044e-01 6.066779828071594549e-01 7.537500000000000311e-01 7.399999999999999911e-01 8.549999999999999822e-01 6.149999999999999911e-01 8.050000000000000488e-01
1.200000000000000000e+01 4.485322618484496870e-01 8.165624999999999689e-01 6.745245909690856800e-01 7.587500000000000355e-01 7.950000000000000400e-01 9.649999999999999689e-01 5.500000000000000444e-01 7.249999999999999778e-01
1.300000000000000000e+01 4.462027987837791643e-01 8.237499999999999822e-01 6.519450557231902810e-01 7.624999999999999556e-01 6.899999999999999467e-01 9.250000000000000444e-01 7.049999999999999600e-01 7.299999999999999822e-01
