# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
0.000000000000000000e+00 1.498140026330947894e+00 4.089062500000000266e-01 1.035554629564285234e+00 5.574999999999999956e-01 1.000000000000000056e-01 6.875000000000000000e-01 6.500000000000000222e-01 2.249999999999999917e-02 8.699999999999999956e-01
1.000000000000000000e+00 1.186142307817935837e+00 5.253124999999999600e-01 1.028200705647468460e+00 5.975000000000000311e-01 1.000000000000000056e-01 5.300000000000000266e-01 9.375000000000000000e-01 4.149999999999999800e-01 5.074999999999999512e-01
2.000000000000000000e+00 1.127831901013851112e+00 5.725000000000000089e-01 8.673559218645096047e-01 6.581249999999999600e-01 1.000000000000000056e-01 6.949999999999999512e-01 8.599999999999999867e-01 7.275000000000000355e-01 3.499999999999999778e-01
3.000000000000000000e+00 1.094723125398159080e+00 5.934374999999999512e-01 1.322843626141548157e+00 5.737499999999999822e-01 1.000000000000000056e-01 8.525000000000000355e-01 6.374999999999999556e-01 3.574999999999999845e-01 4.475000000000000089e-01
4.000000000000000000e+00 1.075954854786395964e+00 6.159375000000000266e-01 9.709364360570907904e-01 6.556250000000000133e-01 1.000000000000000056e-01 7.175000000000000266e-01 9.224999999999999867e-01 3.400000000000000244e-01 6.424999999999999600e-01
5.000000000000000000e+00 1.046496569514274499e+00 6.300000000000000044e-01 7.844986441731452986e-01 7.006250000000000533e-01 1.000000000000000056e-01 7.924999999999999822e-01 9.375000000000000000e-01 4.149999999999999800e-01 6.574999999999999734e-01
6.000000000000000000e+00 1.023872825205326187e+00 6.445312500000000000e-01 7.238099828362465349e-01 7.331250000000000266e-01 1.000000000000000056e-01 8.074999999999999956e-01 9.499999999999999556e-01 5.324999999999999734e-01 6.424999999999999600e-01
7.000000000000000000e+00 1.028978105485439221e+00 6.378125000000000044e-01 7.257546228170395075e-01 7.275000000000000355e-01 1.000000000000000056e-01 8.149999999999999467e-01 9.150000000000000355e-01 6.474999999999999645e-01 5.324999999999999734e-01
8.000000000000000000e+00 1.017299262583255759e+00 6.514062499999999645e-01 8.068708184361458313e-01 6.981249999999999956e-01 1.000000000000000056e-01 4.425000000000000044e-01 9.575000000000000178e-01 7.125000000000000222e-01 6.800000000000000488e-01
9.000000000000000000e+00 9.945749005675316168e-01 6.701562500000000089e-01 6.698997110128402932e-01 7.387500000000000178e-01 1.000000000000000056e-01 8.175000000000000044e-01 9.375000000000000000e-01 5.749999999999999556e-01 6.250000000000000000e-01
