# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.000000000000000000e+00 1.995446637587446670e+00 3.288599999999999857e-01 1.702142713168939503e+00 4.107000000000000095e-01 1.000000000000000056e-01 0.000000000000000000e+00 1.039999999999999952e-01 2.220000000000000029e-01 1.990000000000000102e-01 8.000000000000000167e-02 7.099999999999999367e-02 7.840000000000000302e-01 6.370000000000000107e-01 3.449999999999999734e-01 9.130000000000000338e-01 7.520000000000000018e-01
2.000000000000000000e+00 1.648210607960067131e+00 4.774800000000000155e-01 1.348345595426833743e+00 5.190000000000000169e-01 1.000000000000000056e-01 0.000000000000000000e+00 6.350000000000000089e-01 1.620000000000000051e-01 4.869999999999999885e-01 4.480000000000000093e-01 4.849999999999999867e-01 3.270000000000000129e-01 7.710000000000000187e-01 3.140000000000000013e-01 6.139999999999999902e-01 9.469999999999999529e-01
3.000000000000000000e+00 1.526557717350760290e+00 5.416400000000000103e-01 1.080706173048232799e+00 6.232999999999999652e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.080000000000000515e-01 6.999999999999999556e-01 2.700000000000000178e-01 2.770000000000000240e-01 4.789999999999999813e-01 7.570000000000000062e-01 8.629999999999999893e-01 5.869999999999999662e-01 8.299999999999999600e-01 6.620000000000000329e-01
4.000000000000000000e+00 1.439650446958291807e+00 5.825000000000000178e-01 9.953571120961405283e-01 6.604999999999999760e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.010000000000000231e-01 7.469999999999999973e-01 4.490000000000000102e-01 4.020000000000000240e-01 5.689999999999999503e-01 6.969999999999999529e-01 8.199999999999999512e-01 7.399999999999999911e-01 6.049999999999999822e-01 6.750000000000000444e-01
5.000000000000000000e+00 1.381793969118358723e+00 6.162600000000000300e-01 9.007852261249249537e-01 6.939999999999999503e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.039999999999999591e-01 8.149999999999999467e-01 4.779999999999999805e-01 6.790000000000000480e-01 5.080000000000000071e-01 5.829999999999999627e-01 8.159999999999999476e-01 6.300000000000000044e-01 8.529999999999999805e-01 8.739999999999999991e-01
6.000000000000000000e+00 1.338618565505693470e+00 6.381799999999999695e-01 8.185482982058114310e-01 7.239999999999999769e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.419999999999999707e-01 7.089999999999999636e-01 5.849999999999999645e-01 4.520000000000000129e-01 6.939999999999999503e-01 7.139999999999999680e-01 8.389999999999999680e-01 6.979999999999999538e-01 8.669999999999999929e-01 8.399999999999999689e-01
7.000000000000000000e+00 1.296967857515514577e+00 6.581599999999999673e-01 7.984769429071262303e-01 7.410999999999999810e-01 1.000000000000000056e-01 0.000000000000000000e+00 6.390000000000000124e-01 8.379999999999999671e-01 5.460000000000000409e-01 5.759999999999999565e-01 6.660000000000000364e-01 6.860000000000000542e-01 8.950000000000000178e-01 8.139999999999999458e-01 8.609999999999999876e-01 8.900000000000000133e-01
8.000000000000000000e+00 1.267715034695367171e+00 6.710000000000000409e-01 7.341465999524052766e-01 7.577000000000000401e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.169999999999999485e-01 8.110000000000000542e-01 7.199999999999999734e-01 5.380000000000000338e-01 7.159999999999999698e-01 5.759999999999999565e-01 8.940000000000000169e-01 7.329999999999999849e-01 9.040000000000000258e-01 8.679999999999999938e-01
9.000000000000000000e+00 1.231364086432405136e+00 6.905200000000000227e-01 7.008572649270200516e-01 7.694999999999999618e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.439999999999999725e-01 8.519999999999999796e-01 5.919999999999999707e-01 4.939999999999999947e-01 7.620000000000000107e-01 7.980000000000000426e-01 7.990000000000000435e-01 7.960000000000000409e-01 9.020000000000000240e-01 8.559999999999999831e-01
1.000000000000000000e+01 1.214699994350806778e+00 6.985599999999999588e-01 6.753110185789223952e-01 7.815999999999999615e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.080000000000000293e-01 9.000000000000000222e-01 6.630000000000000338e-01 6.430000000000000160e-01 6.840000000000000524e-01 6.420000000000000151e-01 8.309999999999999609e-01 8.619999999999999885e-01 8.669999999999999929e-01 8.159999999999999476e-01
