# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.000000000000000000e+00 1.558709943096224348e+00 4.196199999999999930e-01 1.724386417637236990e+00 4.451999999999999846e-01 1.000000000000000056e-01 0.000000000000000000e+00 5.530000000000000471e-01 1.140000000000000041e-01 1.140000000000000041e-01 1.000000000000000021e-03 4.450000000000000067e-01 8.689999999999999947e-01 6.900000000000000577e-02 5.410000000000000364e-01 8.239999999999999547e-01 9.220000000000000417e-01
2.000000000000000000e+00 1.003969888864841842e+00 6.436399999999999899e-01 9.121876429445066048e-01 6.945000000000000062e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.329999999999999849e-01 8.810000000000000053e-01 5.000000000000000000e-01 3.119999999999999996e-01 5.590000000000000524e-01 6.320000000000000062e-01 8.299999999999999600e-01 7.920000000000000373e-01 9.370000000000000551e-01 7.690000000000000169e-01
3.000000000000000000e+00 7.754543320116750182e-01 7.290600000000000414e-01 8.181984012309735377e-01 7.179999999999999716e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.030000000000000249e-01 8.529999999999999805e-01 6.310000000000000053e-01 7.309999999999999831e-01 5.480000000000000426e-01 5.440000000000000391e-01 6.820000000000000506e-01 6.139999999999999902e-01 8.629999999999999893e-01 8.110000000000000542e-01
4.000000000000000000e+00 6.392704400395401443e-01 7.800000000000000266e-01 9.456142771739167729e-01 7.069999999999999618e-01 1.000000000000000056e-01 0.000000000000000000e+00 6.540000000000000258e-01 8.750000000000000000e-01 3.659999999999999920e-01 6.840000000000000524e-01 9.569999999999999618e-01 2.869999999999999774e-01 7.479999999999999982e-01 7.379999999999999893e-01 8.880000000000000115e-01 8.729999999999999982e-01
5.000000000000000000e+00 5.544503027250273774e-01 8.073200000000000376e-01 6.156764246118716644e-01 7.994999999999999885e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.229999999999999538e-01 9.459999999999999520e-01 8.080000000000000515e-01 7.359999999999999876e-01 6.700000000000000400e-01 7.630000000000000115e-01 8.970000000000000195e-01 7.690000000000000169e-01 9.110000000000000320e-01 6.720000000000000417e-01
6.000000000000000000e+00 4.870661585874764832e-01 8.324200000000000488e-01 5.995791924599641609e-01 8.075999999999999845e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.990000000000000435e-01 9.270000000000000462e-01 7.810000000000000275e-01 5.849999999999999645e-01 9.130000000000000338e-01 8.489999999999999769e-01 8.609999999999999876e-01 6.650000000000000355e-01 8.980000000000000204e-01 7.980000000000000426e-01
7.000000000000000000e+00 4.402079740473648917e-01 8.479999999999999760e-01 4.509498039230752098e-01 8.500999999999999668e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.850000000000000089e-01 9.409999999999999476e-01 8.080000000000000515e-01 7.209999999999999742e-01 8.760000000000000009e-01 7.880000000000000338e-01 8.780000000000000027e-01 7.870000000000000329e-01 9.070000000000000284e-01 9.100000000000000311e-01
8.000000000000000000e+00 3.965891710961009786e-01 8.619999999999999885e-01 4.889201594236940451e-01 8.376000000000000112e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.399999999999999467e-01 9.549999999999999600e-01 8.369999999999999662e-01 7.800000000000000266e-01 8.159999999999999476e-01 6.570000000000000284e-01 8.000000000000000444e-01 8.469999999999999751e-01 8.850000000000000089e-01 8.589999999999999858e-01
9.000000000000000000e+00 3.604751416527912089e-01 8.756399999999999739e-01 6.859860347863584451e-01 8.094999999999999973e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.529999999999999805e-01 9.709999999999999742e-01 9.150000000000000355e-01 5.510000000000000453e-01 8.159999999999999476e-01 4.420000000000000040e-01 8.479999999999999760e-01 8.709999999999999964e-01 9.419999999999999485e-01 8.860000000000000098e-01
1.000000000000000000e+01 3.337365239858627319e-01 8.861599999999999477e-01 3.706793721420125198e-01 8.759000000000000119e-01 1.000000000000000056e-01 0.000000000000000000e+00 9.100000000000000311e-01 9.619999999999999662e-01 8.389999999999999680e-01 8.549999999999999822e-01 8.639999999999999902e-01 7.540000000000000036e-01 8.950000000000000178e-01 8.469999999999999751e-01 9.389999999999999458e-01 8.940000000000000169e-01
