# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9 class_accuracy_10 class_accuracy_11 class_accuracy_12 class_accuracy_13 class_accuracy_14 class_accuracy_15 class_accuracy_16 class_accuracy_17 class_accuracy_18 class_accuracy_19 class_accuracy_20 class_accuracy_21 class_accuracy_22 class_accuracy_23 class_accuracy_24 class_accuracy_25 class_accuracy_26 class_accuracy_27 class_accuracy_28 class_accuracy_29 class_accuracy_30 class_accuracy_31 class_accuracy_32 class_accuracy_33 class_accuracy_34 class_accuracy_35 class_accuracy_36 class_accuracy_37 class_accuracy_38 class_accuracy_39 class_accuracy_40 class_accuracy_41 class_accuracy_42 class_accuracy_43 class_accuracy_44 class_accuracy_45 class_accuracy_46 class_accuracy_47 class_accuracy_48 class_accuracy_49 class_accuracy_50 class_accuracy_51 class_accuracy_52 class_accuracy_53 class_accuracy_54 class_accuracy_55 class_accuracy_56 class_accuracy_57 class_accuracy_58 class_accuracy_59 class_accuracy_60 class_accuracy_61 class_accuracy_62 class_accuracy_63 class_accuracy_64 class_accuracy_65 class_accuracy_66 class_accuracy_67 class_accuracy_68 class_accuracy_69 class_accuracy_70 class_accuracy_71 class_accuracy_72 class_accuracy_73 class_accuracy_74 class_accuracy_75 class_accuracy_76 class_accuracy_77 class_accuracy_78 class_accuracy_79 class_accuracy_80 class_accuracy_81 class_accuracy_82 class_accuracy_83 class_accuracy_84 class_accuracy_85 class_accuracy_86 class_accuracy_87 class_accuracy_88 class_accuracy_89 class_accuracy_90 class_accuracy_91 class_accuracy_92 class_accuracy_93 class_accuracy_94 class_accuracy_95 class_accuracy_96 class_accuracy_97 class_accuracy_98 class_accuracy_99
1.000000000000000000e+00 4.231706943408235944e+00 6.569999999999999452e-02 3.887231304241826280e+00 9.969999999999999696e-02 1.000000000000000056e-01 0.000000000000000000e+00 5.500000000000000444e-01 2.999999999999999889e-02 1.100000000000000006e-01 2.999999999999999889e-02 0.000000000000000000e+00 1.600000000000000033e-01 4.000000000000000083e-02 0.000000000000000000e+00 5.000000000000000278e-02 4.000000000000000083e-02 1.000000000000000021e-02 1.000000000000000021e-02 2.000000000000000042e-02 0.000000000000000000e+00 1.100000000000000006e-01 0.000000000000000000e+00 1.000000000000000021e-02 8.000000000000000167e-02 1.600000000000000033e-01 0.000000000000000000e+00 5.600000000000000533e-01 5.999999999999999778e-02 0.000000000000000000e+00 4.000000000000000083e-02 0.000000000000000000e+00 2.999999999999999889e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000021e-02 0.000000000000000000e+00 1.000000000000000021e-02 1.000000000000000021e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.400000000000000133e-01 4.000000000000000083e-02 0.000000000000000000e+00 1.900000000000000022e-01 0.000000000000000000e+00 1.300000000000000044e-01 0.000000000000000000e+00 1.700000000000000122e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.099999999999999922e-01 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 2.999999999999999889e-02 5.000000000000000000e-01 3.800000000000000044e-01 2.999999999999999889e-02 0.000000000000000000e+00 2.999999999999999889e-02 2.000000000000000042e-02 1.000000000000000021e-02 5.000000000000000278e-02 7.199999999999999734e-01 8.999999999999999667e-02 2.099999999999999922e-01 1.499999999999999944e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01 5.999999999999999778e-01 1.799999999999999933e-01 5.999999999999999778e-02 2.399999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.499999999999999944e-01 0.000000000000000000e+00 2.000000000000000042e-02 4.699999999999999734e-01 2.700000000000000178e-01 4.199999999999999845e-01 4.000000000000000083e-02 2.999999999999999889e-02 4.000000000000000083e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.999999999999999667e-02 8.000000000000000167e-02 0.000000000000000000e+00 1.600000000000000033e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.099999999999999867e-01 2.000000000000000042e-02 3.800000000000000044e-01 2.200000000000000011e-01 5.999999999999999778e-02 0.000000000000000000e+00
2.000000000000000000e+00 3.870665281763156162e+00 1.280199999999999949e-01 3.755041891774430596e+00 1.428000000000000103e-01 1.000000000000000056e-01 0.000000000000000000e+00 3.099999999999999978e-01 5.100000000000000089e-01 1.000000000000000021e-02 2.999999999999999889e-02 0.000000000000000000e+00 4.000000000000000083e-02 5.000000000000000278e-02 2.000000000000000042e-02 0.000000000000000000e+00 5.999999999999999778e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000278e-02 0.000000000000000000e+00 5.999999999999999778e-02 5.999999999999999778e-02 1.700000000000000122e-01 2.500000000000000000e-01 2.099999999999999922e-01 7.000000000000000666e-02 1.000000000000000056e-01 4.699999999999999734e-01 0.000000000000000000e+00 2.300000000000000100e-01 2.999999999999999889e-01 1.000000000000000021e-02 1.000000000000000021e-02 8.000000000000000167e-02 1.000000000000000021e-02 1.000000000000000021e-02 0.000000000000000000e+00 1.700000000000000122e-01 5.000000000000000278e-02 4.000000000000000083e-02 0.000000000000000000e+00 0.000000000000000000e+00 4.500000000000000111e-01 0.000000000000000000e+00 2.000000000000000042e-02 2.000000000000000111e-01 1.000000000000000021e-02 4.000000000000000222e-01 5.999999999999999778e-02 1.700000000000000122e-01 2.000000000000000042e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.599999999999999867e-01 5.899999999999999689e-01 2.200000000000000011e-01 0.000000000000000000e+00 1.000000000000000021e-02 3.400000000000000244e-01 5.200000000000000178e-01 7.099999999999999645e-01 2.700000000000000178e-01 1.499999999999999944e-01 1.499999999999999944e-01 2.300000000000000100e-01 2.999999999999999889e-02 6.899999999999999467e-01 2.000000000000000042e-02 3.900000000000000133e-01 2.999999999999999889e-02 0.000000000000000000e+00 2.999999999999999889e-02 0.000000000000000000e+00 4.000000000000000083e-02 2.999999999999999889e-01 8.999999999999999667e-02 1.400000000000000133e-01 2.500000000000000000e-01 0.000000000000000000e+00 1.900000000000000022e-01 1.300000000000000044e-01 1.000000000000000056e-01 4.699999999999999734e-01 1.000000000000000021e-02 1.000000000000000021e-02 1.400000000000000133e-01 0.000000000000000000e+00 3.400000000000000244e-01 2.099999999999999922e-01 3.099999999999999978e-01 1.000000000000000021e-02 1.300000000000000044e-01 2.000000000000000042e-02 8.000000000000000167e-02 5.999999999999999778e-02 4.000000000000000083e-02 1.000000000000000021e-02 1.100000000000000006e-01 1.400000000000000133e-01 7.000000000000000666e-02 8.800000000000000044e-01 0.000000000000000000e+00 4.000000000000000222e-01 2.999999999999999889e-02 1.199999999999999956e-01 0.000000000000000000e+00
3.000000000000000000e+00 3.552633346843170337e+00 1.988999999999999935e-01 2.973848795357603603e+00 2.470999999999999863e-01 1.000000000000000056e-01 0.000000000000000000e+00 3.400000000000000244e-01 2.200000000000000011e-01 7.000000000000000666e-02 0.000000000000000000e+00 2.999999999999999889e-02 2.000000000000000042e-02 2.099999999999999922e-01 1.799999999999999933e-01 1.499999999999999944e-01 4.699999999999999734e-01 3.200000000000000067e-01 5.999999999999999778e-02 1.400000000000000133e-01 8.999999999999999667e-02 1.100000000000000006e-01 2.099999999999999922e-01 3.200000000000000067e-01 6.099999999999999867e-01 6.600000000000000311e-01 7.000000000000000666e-02 4.899999999999999911e-01 3.800000000000000044e-01 2.000000000000000042e-02 6.199999999999999956e-01 5.300000000000000266e-01 5.999999999999999778e-02 3.400000000000000244e-01 3.400000000000000244e-01 1.499999999999999944e-01 4.000000000000000222e-01 3.300000000000000155e-01 5.000000000000000278e-02 2.000000000000000042e-02 3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.799999999999999933e-01 8.999999999999999667e-02 0.000000000000000000e+00 1.300000000000000044e-01 5.000000000000000278e-02 5.699999999999999512e-01 2.200000000000000011e-01 1.600000000000000033e-01 2.000000000000000042e-02 0.000000000000000000e+00 0.000000000000000000e+00 5.100000000000000089e-01 3.099999999999999978e-01 5.400000000000000355e-01 0.000000000000000000e+00 2.000000000000000042e-02 5.400000000000000355e-01 4.299999999999999933e-01 5.600000000000000533e-01 1.000000000000000021e-02 3.900000000000000133e-01 2.500000000000000000e-01 1.700000000000000122e-01 2.899999999999999800e-01 6.899999999999999467e-01 5.300000000000000266e-01 7.900000000000000355e-01 2.000000000000000042e-02 0.000000000000000000e+00 1.000000000000000021e-02 0.000000000000000000e+00 1.700000000000000122e-01 6.199999999999999956e-01 5.000000000000000000e-01 1.499999999999999944e-01 5.799999999999999600e-01 0.000000000000000000e+00 3.300000000000000155e-01 1.300000000000000044e-01 4.000000000000000222e-01 6.600000000000000311e-01 1.000000000000000021e-02 1.199999999999999956e-01 1.300000000000000044e-01 0.000000000000000000e+00 2.000000000000000111e-01 8.499999999999999778e-01 2.800000000000000266e-01 2.300000000000000100e-01 3.499999999999999778e-01 5.000000000000000278e-02 4.199999999999999845e-01 5.899999999999999689e-01 2.200000000000000011e-01 1.600000000000000033e-01 2.399999999999999911e-01 8.999999999999999667e-02 1.000000000000000021e-02 7.199999999999999734e-01 5.999999999999999778e-02 4.000000000000000083e-02 1.100000000000000006e-01 3.099999999999999978e-01 1.300000000000000044e-01
4.000000000000000000e+00 3.298258276528756916e+00 2.582800000000000096e-01 3.046057882400366346e+00 2.602999999999999758e-01 1.000000000000000056e-01 0.000000000000000000e+00 5.500000000000000444e-01 8.399999999999999689e-01 1.000000000000000021e-02 8.000000000000000167e-02 0.000000000000000000e+00 1.300000000000000044e-01 8.999999999999999667e-02 1.300000000000000044e-01 2.600000000000000089e-01 3.599999999999999867e-01 2.399999999999999911e-01 1.000000000000000021e-02 2.899999999999999800e-01 8.999999999999999667e-02 1.100000000000000006e-01 1.000000000000000021e-02 2.899999999999999800e-01 2.399999999999999911e-01 5.600000000000000533e-01 7.000000000000000666e-02 7.500000000000000000e-01 1.799999999999999933e-01 7.000000000000000666e-02 3.800000000000000044e-01 5.600000000000000533e-01 5.000000000000000278e-02 2.700000000000000178e-01 0.000000000000000000e+00 3.800000000000000044e-01 2.500000000000000000e-01 4.400000000000000022e-01 1.499999999999999944e-01 8.000000000000000167e-02 1.900000000000000022e-01 1.000000000000000021e-02 0.000000000000000000e+00 1.000000000000000056e-01 2.000000000000000042e-02 1.100000000000000006e-01 5.699999999999999512e-01 0.000000000000000000e+00 8.499999999999999778e-01 2.899999999999999800e-01 0.000000000000000000e+00 1.000000000000000056e-01 1.000000000000000021e-02 0.000000000000000000e+00 2.200000000000000011e-01 3.800000000000000044e-01 3.800000000000000044e-01 2.000000000000000042e-02 2.000000000000000042e-02 6.700000000000000400e-01 3.800000000000000044e-01 4.299999999999999933e-01 0.000000000000000000e+00 2.800000000000000266e-01 2.700000000000000178e-01 2.200000000000000011e-01 5.000000000000000000e-01 7.500000000000000000e-01 8.000000000000000444e-01 8.999999999999999667e-02 5.200000000000000178e-01 2.000000000000000042e-02 0.000000000000000000e+00 1.000000000000000021e-02 4.899999999999999911e-01 7.900000000000000355e-01 5.799999999999999600e-01 1.000000000000000056e-01 4.899999999999999911e-01 2.000000000000000042e-02 2.700000000000000178e-01 2.000000000000000111e-01 7.600000000000000089e-01 7.199999999999999734e-01 4.000000000000000083e-02 2.999999999999999889e-02 2.399999999999999911e-01 0.000000000000000000e+00 6.500000000000000222e-01 5.899999999999999689e-01 1.000000000000000056e-01 5.999999999999999778e-02 2.999999999999999889e-01 4.099999999999999756e-01 4.600000000000000200e-01 2.200000000000000011e-01 1.499999999999999944e-01 5.999999999999999778e-02 4.400000000000000022e-01 7.000000000000000666e-02 0.000000000000000000e+00 6.099999999999999867e-01 2.000000000000000111e-01 2.099999999999999922e-01 7.000000000000000666e-02 4.000000000000000083e-02 5.300000000000000266e-01
5.000000000000000000e+00 3.091159024912809361e+00 3.189199999999999813e-01 2.381862718076370733e+00 3.779000000000000137e-01 1.000000000000000056e-01 0.000000000000000000e+00 4.699999999999999734e-01 3.200000000000000067e-01 4.000000000000000083e-02 2.399999999999999911e-01 2.999999999999999889e-02 1.100000000000000006e-01 6.400000000000000133e-01 2.300000000000000100e-01 4.899999999999999911e-01 5.000000000000000000e-01 1.000000000000000056e-01 3.900000000000000133e-01 3.099999999999999978e-01 2.000000000000000111e-01 8.000000000000000167e-02 5.000000000000000278e-02 4.299999999999999933e-01 8.499999999999999778e-01 2.800000000000000266e-01 2.200000000000000011e-01 6.199999999999999956e-01 6.500000000000000222e-01 2.399999999999999911e-01 3.900000000000000133e-01 6.500000000000000222e-01 1.600000000000000033e-01 2.000000000000000042e-02 2.800000000000000266e-01 2.600000000000000089e-01 5.600000000000000533e-01 3.800000000000000044e-01 3.499999999999999778e-01 4.400000000000000022e-01 2.999999999999999889e-01 2.600000000000000089e-01 4.000000000000000083e-02 4.000000000000000222e-01 3.400000000000000244e-01 1.000000000000000056e-01 5.999999999999999778e-01 8.999999999999999667e-02 4.799999999999999822e-01 5.699999999999999512e-01 4.899999999999999911e-01 1.499999999999999944e-01 4.000000000000000222e-01 2.999999999999999889e-02 5.000000000000000000e-01 7.500000000000000000e-01 8.399999999999999689e-01 1.000000000000000056e-01 2.200000000000000011e-01 7.500000000000000000e-01 7.500000000000000000e-01 7.299999999999999822e-01 5.000000000000000278e-02 6.199999999999999956e-01 3.599999999999999867e-01 3.599999999999999867e-01 4.799999999999999822e-01 5.799999999999999600e-01 5.000000000000000000e-01 8.100000000000000533e-01 4.199999999999999845e-01 1.499999999999999944e-01 1.000000000000000021e-02 4.400000000000000022e-01 1.400000000000000133e-01 7.900000000000000355e-01 4.199999999999999845e-01 4.600000000000000200e-01 8.499999999999999778e-01 2.300000000000000100e-01 3.800000000000000044e-01 4.099999999999999756e-01 6.899999999999999467e-01 6.600000000000000311e-01 3.400000000000000244e-01 5.000000000000000278e-02 3.200000000000000067e-01 5.000000000000000278e-02 5.500000000000000444e-01 8.499999999999999778e-01 3.200000000000000067e-01 2.500000000000000000e-01 4.199999999999999845e-01 3.900000000000000133e-01 3.099999999999999978e-01 6.300000000000000044e-01 3.099999999999999978e-01 1.100000000000000006e-01 5.300000000000000266e-01 5.000000000000000278e-02 1.499999999999999944e-01 7.199999999999999734e-01 4.199999999999999845e-01 3.400000000000000244e-01 3.499999999999999778e-01 1.000000000000000056e-01 5.500000000000000444e-01
6.000000000000000000e+00 2.931358816222509933e+00 3.577400000000000024e-01 2.196173581833275712e+00 4.109999999999999765e-01 1.000000000000000056e-01 0.000000000000000000e+00 4.699999999999999734e-01 7.399999999999999911e-01 4.000000000000000222e-01 8.999999999999999667e-02 8.999999999999999667e-02 2.300000000000000100e-01 4.799999999999999822e-01 3.099999999999999978e-01 3.300000000000000155e-01 5.999999999999999778e-01 1.900000000000000022e-01 2.099999999999999922e-01 3.900000000000000133e-01 4.600000000000000200e-01 4.500000000000000111e-01 2.600000000000000089e-01 2.800000000000000266e-01 6.600000000000000311e-01 5.100000000000000089e-01 4.199999999999999845e-01 5.799999999999999600e-01 8.800000000000000044e-01 3.200000000000000067e-01 4.000000000000000222e-01 6.899999999999999467e-01 2.700000000000000178e-01 1.600000000000000033e-01 1.700000000000000122e-01 5.999999999999999778e-01 5.300000000000000266e-01 2.399999999999999911e-01 3.300000000000000155e-01 2.500000000000000000e-01 5.600000000000000533e-01 1.199999999999999956e-01 7.000000000000000666e-02 5.400000000000000355e-01 1.300000000000000044e-01 1.100000000000000006e-01 7.299999999999999822e-01 2.899999999999999800e-01 8.299999999999999600e-01 3.699999999999999956e-01 1.199999999999999956e-01 1.000000000000000021e-02 3.200000000000000067e-01 1.300000000000000044e-01 3.599999999999999867e-01 6.600000000000000311e-01 8.299999999999999600e-01 2.200000000000000011e-01 8.000000000000000167e-02 7.700000000000000178e-01 3.800000000000000044e-01 6.800000000000000488e-01 4.000000000000000083e-02 5.400000000000000355e-01 3.200000000000000067e-01 8.299999999999999600e-01 4.000000000000000222e-01 5.799999999999999600e-01 4.600000000000000200e-01 4.400000000000000022e-01 3.800000000000000044e-01 2.399999999999999911e-01 2.000000000000000042e-02 2.300000000000000100e-01 2.399999999999999911e-01 8.599999999999999867e-01 6.700000000000000400e-01 5.100000000000000089e-01 8.100000000000000533e-01 8.999999999999999667e-02 4.799999999999999822e-01 6.400000000000000133e-01 9.200000000000000400e-01 6.800000000000000488e-01 2.000000000000000111e-01 2.800000000000000266e-01 2.999999999999999889e-01 1.000000000000000021e-02 2.300000000000000100e-01 7.600000000000000089e-01 7.199999999999999734e-01 3.699999999999999956e-01 4.799999999999999822e-01 5.999999999999999778e-01 6.099999999999999867e-01 3.699999999999999956e-01 1.300000000000000044e-01 5.500000000000000444e-01 6.800000000000000488e-01 3.300000000000000155e-01 1.600000000000000033e-01 8.000000000000000444e-01 6.600000000000000311e-01 2.300000000000000100e-01 2.500000000000000000e-01 3.099999999999999978e-01 3.900000000000000133e-01
7.000000000000000000e+00 2.799100179894948415e+00 3.968999999999999750e-01 1.912718652155452670e+00 4.860999999999999766e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.100000000000000533e-01 5.400000000000000355e-01 3.599999999999999867e-01 1.700000000000000122e-01 4.400000000000000022e-01 5.000000000000000000e-01 5.699999999999999512e-01 2.500000000000000000e-01 7.199999999999999734e-01 5.999999999999999778e-01 2.500000000000000000e-01 0.000000000000000000e+00 6.500000000000000222e-01 4.099999999999999756e-01 3.499999999999999778e-01 3.599999999999999867e-01 5.200000000000000178e-01 8.000000000000000444e-01 4.299999999999999933e-01 5.000000000000000000e-01 8.499999999999999778e-01 8.000000000000000444e-01 4.699999999999999734e-01 5.899999999999999689e-01 7.700000000000000178e-01 2.700000000000000178e-01 2.700000000000000178e-01 2.600000000000000089e-01 7.399999999999999911e-01 3.599999999999999867e-01 2.800000000000000266e-01 4.000000000000000222e-01 2.399999999999999911e-01 4.699999999999999734e-01 5.999999999999999778e-01 4.799999999999999822e-01 6.800000000000000488e-01 6.400000000000000133e-01 3.099999999999999978e-01 7.399999999999999911e-01 3.900000000000000133e-01 8.000000000000000444e-01 3.900000000000000133e-01 5.500000000000000444e-01 1.000000000000000056e-01 1.000000000000000056e-01 4.600000000000000200e-01 4.500000000000000111e-01 7.399999999999999911e-01 8.000000000000000444e-01 5.000000000000000278e-02 6.099999999999999867e-01 8.199999999999999512e-01 7.600000000000000089e-01 7.399999999999999911e-01 1.000000000000000021e-02 5.899999999999999689e-01 7.399999999999999911e-01 5.200000000000000178e-01 1.600000000000000033e-01 6.800000000000000488e-01 5.600000000000000533e-01 2.999999999999999889e-01 3.599999999999999867e-01 1.900000000000000022e-01 4.799999999999999822e-01 5.400000000000000355e-01 2.999999999999999889e-01 8.199999999999999512e-01 6.999999999999999556e-01 1.499999999999999944e-01 8.000000000000000444e-01 1.000000000000000021e-02 4.500000000000000111e-01 2.200000000000000011e-01 8.499999999999999778e-01 8.000000000000000444e-01 4.099999999999999756e-01 3.099999999999999978e-01 3.200000000000000067e-01 8.999999999999999667e-02 4.199999999999999845e-01 7.800000000000000266e-01 4.699999999999999734e-01 2.399999999999999911e-01 8.199999999999999512e-01 6.700000000000000400e-01 5.799999999999999600e-01 6.199999999999999956e-01 6.700000000000000400e-01 6.199999999999999956e-01 7.500000000000000000e-01 4.000000000000000222e-01 2.300000000000000100e-01 8.599999999999999867e-01 6.400000000000000133e-01 2.800000000000000266e-01 4.000000000000000222e-01 1.100000000000000006e-01 4.799999999999999822e-01
8.000000000000000000e+00 2.682171783001851662e+00 4.338400000000000034e-01 1.837983872562932497e+00 5.000999999999999890e-01 1.000000000000000056e-01 0.000000000000000000e+00 6.500000000000000222e-01 6.500000000000000222e-01 5.300000000000000266e-01 1.799999999999999933e-01 1.100000000000000006e-01 6.600000000000000311e-01 6.099999999999999867e-01 3.699999999999999956e-01 5.200000000000000178e-01 6.899999999999999467e-01 4.699999999999999734e-01 1.199999999999999956e-01 5.300000000000000266e-01 4.099999999999999756e-01 2.200000000000000011e-01 2.700000000000000178e-01 5.899999999999999689e-01 5.899999999999999689e-01 5.699999999999999512e-01 3.900000000000000133e-01 7.500000000000000000e-01 6.800000000000000488e-01 1.900000000000000022e-01 6.300000000000000044e-01 8.199999999999999512e-01 2.500000000000000000e-01 1.300000000000000044e-01 3.400000000000000244e-01 5.400000000000000355e-01 6.899999999999999467e-01 3.599999999999999867e-01 4.899999999999999911e-01 3.599999999999999867e-01 3.699999999999999956e-01 5.300000000000000266e-01 1.000000000000000021e-02 7.199999999999999734e-01 7.199999999999999734e-01 2.399999999999999911e-01 7.500000000000000000e-01 5.600000000000000533e-01 7.099999999999999645e-01 3.300000000000000155e-01 4.699999999999999734e-01 1.400000000000000133e-01 2.899999999999999800e-01 5.400000000000000355e-01 4.099999999999999756e-01 9.200000000000000400e-01 6.500000000000000222e-01 4.799999999999999822e-01 4.600000000000000200e-01 9.300000000000000488e-01 9.200000000000000400e-01 9.200000000000000400e-01 1.700000000000000122e-01 8.599999999999999867e-01 5.899999999999999689e-01 8.100000000000000533e-01 3.699999999999999956e-01 8.900000000000000133e-01 4.500000000000000111e-01 4.899999999999999911e-01 6.099999999999999867e-01 3.400000000000000244e-01 1.700000000000000122e-01 5.400000000000000355e-01 2.200000000000000011e-01 9.200000000000000400e-01 7.500000000000000000e-01 5.400000000000000355e-01 5.999999999999999778e-01 5.999999999999999778e-02 4.899999999999999911e-01 2.399999999999999911e-01 8.399999999999999689e-01 7.299999999999999822e-01 2.800000000000000266e-01 3.300000000000000155e-01 2.999999999999999889e-01 2.500000000000000000e-01 6.999999999999999556e-01 8.800000000000000044e-01 4.899999999999999911e-01 4.099999999999999756e-01 6.300000000000000044e-01 5.100000000000000089e-01 5.500000000000000444e-01 3.499999999999999778e-01 6.500000000000000222e-01 5.400000000000000355e-01 6.400000000000000133e-01 3.200000000000000067e-01 2.200000000000000011e-01 8.499999999999999778e-01 5.799999999999999600e-01 2.700000000000000178e-01 2.200000000000000011e-01 3.300000000000000155e-01 5.999999999999999778e-01
9.000000000000000000e+00 2.603592317301115067e+00 4.549599999999999755e-01 1.764113773172274913e+00 5.174999999999999600e-01 1.000000000000000056e-01 0.000000000000000000e+00 7.299999999999999822e-01 7.199999999999999734e-01 1.499999999999999944e-01 4.000000000000000083e-02 3.699999999999999956e-01 4.600000000000000200e-01 5.999999999999999778e-01 5.200000000000000178e-01 6.500000000000000222e-01 7.500000000000000000e-01 2.700000000000000178e-01 2.600000000000000089e-01 5.699999999999999512e-01 6.300000000000000044e-01 2.899999999999999800e-01 4.899999999999999911e-01 7.199999999999999734e-01 6.899999999999999467e-01 2.800000000000000266e-01 6.700000000000000400e-01 8.100000000000000533e-01 8.800000000000000044e-01 5.799999999999999600e-01 5.899999999999999689e-01 7.500000000000000000e-01 2.600000000000000089e-01 4.699999999999999734e-01 4.799999999999999822e-01 7.700000000000000178e-01 4.799999999999999822e-01 3.800000000000000044e-01 3.800000000000000044e-01 3.900000000000000133e-01 3.499999999999999778e-01 6.600000000000000311e-01 5.000000000000000278e-02 7.800000000000000266e-01 7.399999999999999911e-01 4.500000000000000111e-01 6.300000000000000044e-01 5.400000000000000355e-01 6.199999999999999956e-01 6.199999999999999956e-01 6.999999999999999556e-01 1.000000000000000056e-01 2.200000000000000011e-01 2.800000000000000266e-01 6.700000000000000400e-01 8.599999999999999867e-01 5.699999999999999512e-01 1.600000000000000033e-01 4.799999999999999822e-01 5.999999999999999778e-01 8.699999999999999956e-01 6.600000000000000311e-01 1.199999999999999956e-01 7.800000000000000266e-01 6.199999999999999956e-01 4.600000000000000200e-01 3.900000000000000133e-01 8.199999999999999512e-01 5.500000000000000444e-01 6.400000000000000133e-01 2.999999999999999889e-01 3.099999999999999978e-01 1.900000000000000022e-01 4.699999999999999734e-01 3.300000000000000155e-01 7.600000000000000089e-01 7.600000000000000089e-01 6.199999999999999956e-01 5.000000000000000000e-01 7.000000000000000666e-02 4.299999999999999933e-01 1.499999999999999944e-01 4.899999999999999911e-01 7.900000000000000355e-01 2.700000000000000178e-01 4.000000000000000222e-01 5.999999999999999778e-01 8.000000000000000167e-02 3.300000000000000155e-01 8.399999999999999689e-01 6.199999999999999956e-01 4.400000000000000022e-01 8.199999999999999512e-01 4.699999999999999734e-01 6.899999999999999467e-01 7.399999999999999911e-01 8.100000000000000533e-01 4.500000000000000111e-01 5.999999999999999778e-01 2.000000000000000111e-01 2.600000000000000089e-01 8.900000000000000133e-01 5.699999999999999512e-01 4.000000000000000222e-01 7.700000000000000178e-01 7.399999999999999911e-01 5.200000000000000178e-01
1.000000000000000000e+01 2.535098155110750096e+00 4.815200000000000036e-01 1.641768337629092800e+00 5.483000000000000096e-01 1.000000000000000056e-01 0.000000000000000000e+00 8.699999999999999956e-01 6.400000000000000133e-01 3.400000000000000244e-01 2.099999999999999922e-01 2.200000000000000011e-01 6.999999999999999556e-01 5.500000000000000444e-01 5.200000000000000178e-01 8.800000000000000044e-01 6.600000000000000311e-01 2.700000000000000178e-01 2.000000000000000042e-02 6.899999999999999467e-01 2.200000000000000011e-01 3.599999999999999867e-01 6.500000000000000222e-01 7.800000000000000266e-01 7.299999999999999822e-01 5.500000000000000444e-01 6.300000000000000044e-01 8.100000000000000533e-01 8.599999999999999867e-01 5.500000000000000444e-01 7.900000000000000355e-01 7.800000000000000266e-01 3.900000000000000133e-01 4.600000000000000200e-01 1.400000000000000133e-01 7.399999999999999911e-01 4.099999999999999756e-01 6.199999999999999956e-01 4.799999999999999822e-01 5.400000000000000355e-01 3.900000000000000133e-01 5.500000000000000444e-01 7.800000000000000266e-01 6.500000000000000222e-01 4.899999999999999911e-01 4.099999999999999756e-01 7.900000000000000355e-01 5.699999999999999512e-01 7.800000000000000266e-01 3.200000000000000067e-01 6.300000000000000044e-01 1.000000000000000056e-01 4.299999999999999933e-01 2.500000000000000000e-01 4.299999999999999933e-01 8.499999999999999778e-01 7.800000000000000266e-01 2.800000000000000266e-01 6.600000000000000311e-01 8.100000000000000533e-01 8.800000000000000044e-01 7.299999999999999822e-01 3.200000000000000067e-01 8.100000000000000533e-01 6.199999999999999956e-01 8.399999999999999689e-01 4.799999999999999822e-01 8.699999999999999956e-01 6.600000000000000311e-01 6.300000000000000044e-01 3.699999999999999956e-01 4.199999999999999845e-01 5.500000000000000444e-01 6.400000000000000133e-01 3.499999999999999778e-01 7.500000000000000000e-01 7.600000000000000089e-01 8.000000000000000444e-01 6.199999999999999956e-01 5.999999999999999778e-02 5.400000000000000355e-01 5.100000000000000089e-01 8.800000000000000044e-01 7.199999999999999734e-01 4.000000000000000222e-01 3.400000000000000244e-01 5.999999999999999778e-01 8.000000000000000167e-02 1.799999999999999933e-01 7.700000000000000178e-01 5.400000000000000355e-01 2.999999999999999889e-01 6.500000000000000222e-01 5.500000000000000444e-01 5.799999999999999600e-01 3.699999999999999956e-01 5.600000000000000533e-01 8.499999999999999778e-01 7.900000000000000355e-01 2.899999999999999800e-01 1.700000000000000122e-01 8.100000000000000533e-01 4.899999999999999911e-01 3.499999999999999778e-01 5.899999999999999689e-01 1.199999999999999956e-01 6.300000000000000044e-01
