# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.000000000000000000e+00 6.403281079487241900e-01 9.229600000000000026e-01 2.160531184234367741e-01 9.508999999999999675e-01 1.000000000000000021e-02 2.995641619186303339e-01 9.709999999999999742e-01 9.849999999999999867e-01 9.370000000000000551e-01 9.040000000000000258e-01 9.320000000000000506e-01 9.110000000000000320e-01 9.679999999999999716e-01 9.719999999999999751e-01 9.659999999999999698e-01 9.629999999999999671e-01
2.000000000000000000e+00 6.433671635843132286e-01 9.208800000000000319e-01 2.158545002150840386e-01 9.507999999999999785e-01 1.000000000000000021e-02 2.995641619186303339e-01 9.709999999999999742e-01 9.869999999999999885e-01 9.350000000000000533e-01 9.090000000000000302e-01 9.360000000000000542e-01 9.090000000000000302e-01 9.689999999999999725e-01 9.669999999999999707e-01 9.629999999999999671e-01 9.619999999999999662e-01
3.000000000000000000e+00 6.591110803229794923e-01 9.190399999999999681e-01 2.213957065258163326e-01 9.493000000000000327e-01 1.000000000000000021e-02 5.092602305953619624e-01 9.659999999999999698e-01 9.829999999999999849e-01 9.409999999999999476e-01 9.050000000000000266e-01 9.300000000000000488e-01 9.120000000000000329e-01 9.649999999999999689e-01 9.659999999999999698e-01 9.639999999999999680e-01 9.609999999999999654e-01
4.000000000000000000e+00 6.518566749527602289e-01 9.186400000000000121e-01 2.182458263164320789e-01 9.499999999999999556e-01 1.000000000000000021e-02 5.092602305953619624e-01 9.669999999999999707e-01 9.809999999999999831e-01 9.360000000000000542e-01 9.030000000000000249e-01 9.399999999999999467e-01 9.150000000000000355e-01 9.639999999999999680e-01 9.649999999999999689e-01 9.689999999999999725e-01 9.599999999999999645e-01
5.000000000000000000e+00 6.869764564438500809e-01 9.114200000000000079e-01 2.325555347739317047e-01 9.431000000000000494e-01 1.000000000000000021e-02 6.560465312954479877e-01 9.609999999999999654e-01 9.749999999999999778e-01 9.230000000000000426e-01 8.760000000000000009e-01 9.330000000000000515e-01 9.150000000000000355e-01 9.599999999999999645e-01 9.559999999999999609e-01 9.729999999999999760e-01 9.589999999999999636e-01
6.000000000000000000e+00 6.687935000608460356e-01 9.166999999999999593e-01 2.341834964653173590e-01 9.424000000000000155e-01 1.000000000000000021e-02 6.560465312954479877e-01 9.629999999999999671e-01 9.689999999999999725e-01 9.240000000000000435e-01 8.920000000000000151e-01 9.280000000000000471e-01 8.990000000000000213e-01 9.559999999999999609e-01 9.639999999999999680e-01 9.699999999999999734e-01 9.589999999999999636e-01
7.000000000000000000e+00 7.292949273772371122e-01 8.992999999999999883e-01 2.557905774099377139e-01 9.344999999999999973e-01 1.000000000000000021e-02 7.587965951854009905e-01 9.499999999999999556e-01 9.799999999999999822e-01 9.110000000000000320e-01 8.639999999999999902e-01 9.250000000000000444e-01 8.940000000000000169e-01 9.479999999999999538e-01 9.559999999999999609e-01 9.639999999999999680e-01 9.529999999999999583e-01
8.000000000000000000e+00 7.019722017621048415e-01 9.058199999999999585e-01 2.548292814114223037e-01 9.378999999999999559e-01 1.000000000000000021e-02 7.587965951854009905e-01 9.549999999999999600e-01 9.819999999999999840e-01 9.250000000000000444e-01 8.609999999999999876e-01 9.399999999999999467e-01 9.050000000000000266e-01 9.539999999999999591e-01 9.539999999999999591e-01 9.619999999999999662e-01 9.409999999999999476e-01
9.000000000000000000e+00 7.978071038035040585e-01 8.756599999999999939e-01 2.887386976958463691e-01 9.274000000000000021e-01 1.000000000000000021e-02 8.307212008815658688e-01 9.300000000000000488e-01 9.679999999999999716e-01 9.070000000000000284e-01 8.429999999999999716e-01 9.320000000000000506e-01 8.910000000000000142e-01 9.529999999999999583e-01 9.449999999999999512e-01 9.529999999999999583e-01 9.519999999999999574e-01
1.000000000000000000e+01 7.528161204784098448e-01 8.912999999999999812e-01 2.796836829366394772e-01 9.287999999999999590e-01 1.000000000000000021e-02 8.307212008815658688e-01 9.399999999999999467e-01 9.719999999999999751e-01 9.060000000000000275e-01 8.449999999999999734e-01 9.220000000000000417e-01 8.920000000000000151e-01 9.499999999999999556e-01 9.509999999999999565e-01 9.569999999999999618e-01 9.529999999999999583e-01
