# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate pruning class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3 class_accuracy_4 class_accuracy_5 class_accuracy_6 class_accuracy_7 class_accuracy_8 class_accuracy_9
1.000000000000000000e+00 6.418991766522041953e-01 9.215400000000000258e-01 2.122043927018634757e-01 9.515000000000000124e-01 1.000000000000000021e-02 2.995641619186303339e-01 9.729999999999999760e-01 9.859999999999999876e-01 9.350000000000000533e-01 9.040000000000000258e-01 9.389999999999999458e-01 9.140000000000000346e-01 9.669999999999999707e-01 9.699999999999999734e-01 9.669999999999999707e-01 9.599999999999999645e-01
2.000000000000000000e+00 6.384564027028135635e-01 9.222599999999999687e-01 2.120452641893309231e-01 9.508999999999999675e-01 1.000000000000000021e-02 2.995641619186303339e-01 9.649999999999999689e-01 9.819999999999999840e-01 9.370000000000000551e-01 8.900000000000000133e-01 9.409999999999999476e-01 9.240000000000000435e-01 9.719999999999999751e-01 9.689999999999999725e-01 9.649999999999999689e-01 9.639999999999999680e-01
3.000000000000000000e+00 6.599948792524698016e-01 9.203400000000000469e-01 2.195235476040611755e-01 9.497999999999999776e-01 1.000000000000000021e-02 5.092602305953619624e-01 9.699999999999999734e-01 9.769999999999999796e-01 9.350000000000000533e-01 9.000000000000000222e-01 9.320000000000000506e-01 9.140000000000000346e-01 9.749999999999999778e-01 9.659999999999999698e-01 9.679999999999999716e-01 9.609999999999999654e-01
4.000000000000000000e+00 6.511635518157932179e-01 9.200199999999999489e-01 2.147070695274173324e-01 9.491000000000000547e-01 1.000000000000000021e-02 5.092602305953619624e-01 9.649999999999999689e-01 9.809999999999999831e-01 9.360000000000000542e-01 9.060000000000000275e-01 9.389999999999999458e-01 9.080000000000000293e-01 9.649999999999999689e-01 9.649999999999999689e-01 9.669999999999999707e-01 9.589999999999999636e-01
5.000000000000000000e+00 6.803140921121366702e-01 9.144600000000000506e-01 2.291764991042522515e-01 9.427999999999999714e-01 1.000000000000000021e-02 6.560465312954479877e-01 9.659999999999999698e-01 9.819999999999999840e-01 9.190000000000000391e-01 8.729999999999999982e-01 9.370000000000000551e-01 9.110000000000000320e-01 9.649999999999999689e-01 9.599999999999999645e-01 9.609999999999999654e-01 9.539999999999999591e-01
6.000000000000000000e+00 6.704622521395875445e-01 9.170199999999999463e-01 2.331406082898473675e-01 9.447999999999999732e-01 1.000000000000000021e-02 6.560465312954479877e-01 9.609999999999999654e-01 9.779999999999999805e-01 9.260000000000000453e-01 9.000000000000000222e-01 9.350000000000000533e-01 9.000000000000000222e-01 9.599999999999999645e-01 9.609999999999999654e-01 9.709999999999999742e-01 9.559999999999999609e-01
7.000000000000000000e+00 7.281321967670113526e-01 8.980599999999999694e-01 2.529615220218039973e-01 9.361000000000000432e-01 1.000000000000000021e-02 7.587965951854009905e-01 9.539999999999999591e-01 9.779999999999999805e-01 9.200000000000000400e-01 8.399999999999999689e-01 9.379999999999999449e-01 9.120000000000000329e-01 9.529999999999999583e-01 9.539999999999999591e-01 9.609999999999999654e-01 9.509999999999999565e-01
8.000000000000000000e+00 7.035506154891396635e-01 9.073600000000000554e-01 2.486225872184521790e-01 9.375000000000000000e-01 1.000000000000000021e-02 7.587965951854009905e-01 9.519999999999999574e-01 9.759999999999999787e-01 9.140000000000000346e-01 8.559999999999999831e-01 9.320000000000000506e-01 9.000000000000000222e-01 9.599999999999999645e-01 9.649999999999999689e-01 9.629999999999999671e-01 9.569999999999999618e-01
9.000000000000000000e+00 7.975500330891429623e-01 8.760799999999999699e-01 2.857341955835446257e-01 9.270000000000000462e-01 1.000000000000000021e-02 8.307212008815658688e-01 9.509999999999999565e-01 9.719999999999999751e-01 9.020000000000000240e-01 8.199999999999999512e-01 9.230000000000000426e-01 8.910000000000000142e-01 9.559999999999999609e-01 9.459999999999999520e-01 9.569999999999999618e-01 9.519999999999999574e-01
1.000000000000000000e+01 7.523992219111588220e-01 8.912999999999999812e-01 2.746141794771432276e-01 9.313000000000000167e-01 1.000000000000000021e-02 8.307212008815658688e-01 9.569999999999999618e-01 9.769999999999999796e-01 9.090000000000000302e-01 8.269999999999999574e-01 9.330000000000000515e-01 9.060000000000000275e-01 9.569999999999999618e-01 9.419999999999999485e-01 9.589999999999999636e-01 9.459999999999999520e-01
