# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
0.000000000000000000e+00 1.355397779345512310e+00 4.506249999999999978e-01 1.057771570682525697e+00 5.424999999999999822e-01 1.000000000000000056e-01 7.349999999999999867e-01 5.050000000000000044e-01 8.999999999999999667e-02 8.399999999999999689e-01
1.000000000000000000e+00 9.894663906097411754e-01 5.915624999999999911e-01 8.893841028213500532e-01 6.225000000000000533e-01 1.000000000000000056e-01 5.649999999999999467e-01 8.050000000000000488e-01 7.099999999999999645e-01 4.099999999999999756e-01
2.000000000000000000e+00 8.792106586694717896e-01 6.378125000000000044e-01 9.532032203674316584e-01 6.037500000000000089e-01 1.000000000000000056e-01 4.400000000000000022e-01 7.449999999999999956e-01 8.000000000000000444e-01 4.299999999999999933e-01
3.000000000000000000e+00 8.372174161672591985e-01 6.568749999999999867e-01 8.012941431999206499e-01 6.887499999999999734e-01 1.000000000000000056e-01 7.449999999999999956e-01 8.800000000000000044e-01 6.650000000000000355e-01 4.650000000000000244e-01
4.000000000000000000e+00 7.995232784748077526e-01 6.790625000000000133e-01 7.968241494894027221e-01 6.762500000000000178e-01 1.000000000000000056e-01 8.349999999999999645e-01 7.249999999999999778e-01 4.749999999999999778e-01 6.700000000000000400e-01
5.000000000000000000e+00 7.376310610771179554e-01 6.959374999999999867e-01 9.013503766059876021e-01 6.300000000000000044e-01 1.000000000000000056e-01 7.850000000000000311e-01 5.150000000000000133e-01 3.350000000000000200e-01 8.850000000000000089e-01
6.000000000000000000e+00 7.405477797985077215e-01 6.996875000000000178e-01 7.723915517330169900e-01 6.912500000000000311e-01 1.000000000000000056e-01 8.750000000000000000e-01 6.250000000000000000e-01 4.799999999999999822e-01 7.850000000000000311e-01
7.000000000000000000e+00 7.030418953299522045e-01 7.215624999999999956e-01 6.954685389995575173e-01 7.162500000000000533e-01 1.000000000000000056e-01 7.449999999999999956e-01 8.649999999999999911e-01 5.400000000000000355e-01 7.149999999999999689e-01
8.000000000000000000e+00 6.690622186660766246e-01 7.275000000000000355e-01 6.554455947875976740e-01 7.249999999999999778e-01 1.000000000000000056e-01 8.349999999999999645e-01 8.800000000000000044e-01 4.249999999999999889e-01 7.600000000000000089e-01
9.000000000000000000e+00 6.257200795412063421e-01 7.490624999999999645e-01 7.428080654144286754e-01 7.112500000000000488e-01 1.000000000000000056e-01 7.449999999999999956e-01 7.700000000000000178e-01 7.950000000000000400e-01 5.350000000000000311e-01
