# epoch train_loss train_accuracy valid_loss valid_accuracy learning_rate class_accuracy_0 class_accuracy_1 class_accuracy_2 class_accuracy_3
0.000000000000000000e+00 1.517093732357025049e+00 3.740625000000000200e-01 1.160571298599243129e+00 5.124999999999999556e-01 1.000000000000000056e-01 6.300000000000000044e-01 7.149999999999999689e-01 5.799999999999999600e-01 1.250000000000000000e-01
1.000000000000000000e+00 1.221824165582656940e+00 4.924999999999999933e-01 1.100604751110076940e+00 5.799999999999999600e-01 1.000000000000000056e-01 7.449999999999999956e-01 6.600000000000000311e-01 6.049999999999999822e-01 3.099999999999999978e-01
2.000000000000000000e+00 1.171663960218429557e+00 5.346874999999999822e-01 9.634926366806030318e-01 5.825000000000000178e-01 1.000000000000000056e-01 3.549999999999999822e-01 8.649999999999999911e-01 3.300000000000000155e-01 7.800000000000000266e-01
3.000000000000000000e+00 1.133218148350715548e+00 5.628125000000000488e-01 9.727157020568847345e-01 5.937500000000000000e-01 1.000000000000000056e-01 5.749999999999999556e-01 6.500000000000000222e-01 2.949999999999999845e-01 8.549999999999999822e-01
4.000000000000000000e+00 1.107698004245758039e+00 5.765624999999999778e-01 1.112896196842193541e+00 5.324999999999999734e-01 1.000000000000000056e-01 4.799999999999999822e-01 4.199999999999999845e-01 7.850000000000000311e-01 4.450000000000000067e-01
5.000000000000000000e+00 1.088220760226249695e+00 5.984374999999999556e-01 8.754354751110077215e-01 6.487500000000000488e-01 1.000000000000000056e-01 6.949999999999999512e-01 8.599999999999999867e-01 4.050000000000000266e-01 6.350000000000000089e-01
6.000000000000000000e+00 1.066446022391319248e+00 6.156249999999999778e-01 9.071449828147888361e-01 6.350000000000000089e-01 1.000000000000000056e-01 7.299999999999999822e-01 5.749999999999999556e-01 6.899999999999999467e-01 5.450000000000000400e-01
7.000000000000000000e+00 1.044141083955764771e+00 6.340624999999999734e-01 8.171055948734283758e-01 6.862500000000000266e-01 1.000000000000000056e-01 7.800000000000000266e-01 8.800000000000000044e-01 4.199999999999999845e-01 6.650000000000000355e-01
8.000000000000000000e+00 1.048136706352233993e+00 6.337500000000000355e-01 7.962379419803619074e-01 6.999999999999999556e-01 1.000000000000000056e-01 8.050000000000000488e-01 8.599999999999999867e-01 3.549999999999999822e-01 7.800000000000000266e-01
9.000000000000000000e+00 1.036533179283142037e+00 6.256249999999999867e-01 8.095604026317596569e-01 6.925000000000000044e-01 1.000000000000000056e-01 8.649999999999999911e-01 8.299999999999999600e-01 5.150000000000000133e-01 5.600000000000000533e-01
1.000000000000000000e+01 1.035850601792335457e+00 6.343750000000000222e-01 7.637302863597870140e-01 7.275000000000000355e-01 1.000000000000000056e-01 8.449999999999999734e-01 8.800000000000000044e-01 5.100000000000000089e-01 6.750000000000000444e-01
1.100000000000000000e+01 1.015620285868644723e+00 6.459375000000000533e-01 7.028953814506531117e-01 7.275000000000000355e-01 1.000000000000000056e-01 7.800000000000000266e-01 9.000000000000000222e-01 6.500000000000000222e-01 5.799999999999999600e-01
1.200000000000000000e+01 1.001239439249038687e+00 6.565625000000000488e-01 7.356231522560119362e-01 7.162500000000000533e-01 1.000000000000000056e-01 7.700000000000000178e-01 9.599999999999999645e-01 6.400000000000000133e-01 4.949999999999999956e-01
1.300000000000000000e+01 9.991086614131927668e-01 6.574999999999999734e-01 7.583476316928863259e-01 7.425000000000000488e-01 1.000000000000000056e-01 8.549999999999999822e-01 8.100000000000000533e-01 6.300000000000000044e-01 6.750000000000000444e-01
1.400000000000000000e+01 9.953515684604644642e-01 6.484375000000000000e-01 6.879747200012207298e-01 7.212499999999999467e-01 1.000000000000000056e-01 6.500000000000000222e-01 9.699999999999999734e-01 5.999999999999999778e-01 6.650000000000000355e-01
1.500000000000000000e+01 9.901312893629073963e-01 6.615625000000000533e-01 6.970781761407852661e-01 7.449999999999999956e-01 1.000000000000000056e-01 8.299999999999999600e-01 9.749999999999999778e-01 5.450000000000000400e-01 6.300000000000000044e-01
1.600000000000000000e+01 9.726804083585739447e-01 6.759374999999999689e-01 7.919198679924011053e-01 6.737499999999999600e-01 1.000000000000000056e-01 8.599999999999999867e-01 5.849999999999999645e-01 6.550000000000000266e-01 5.949999999999999734e-01
1.700000000000000000e+01 9.638516950607299849e-01 6.800000000000000488e-01 8.832806396484375044e-01 7.012500000000000400e-01 1.000000000000000056e-01 4.550000000000000155e-01 9.350000000000000533e-01 8.299999999999999600e-01 5.849999999999999645e-01
1.800000000000000000e+01 9.596669024229049771e-01 6.850000000000000533e-01 7.691059195995331166e-01 7.375000000000000444e-01 1.000000000000000056e-01 9.100000000000000311e-01 9.100000000000000311e-01 6.149999999999999911e-01 5.150000000000000133e-01
1.900000000000000000e+01 9.580034524202346580e-01 6.828125000000000444e-01 7.986142402887344005e-01 7.337500000000000133e-01 1.000000000000000056e-01 9.050000000000000266e-01 8.750000000000000000e-01 6.149999999999999911e-01 5.400000000000000355e-01
2.000000000000000000e+01 9.247723311185837014e-01 7.093749999999999778e-01 6.542478281259537232e-01 7.587500000000000355e-01 1.000000000000000056e-01 8.800000000000000044e-01 9.599999999999999645e-01 5.849999999999999645e-01 6.099999999999999867e-01
2.100000000000000000e+01 9.579475212097168235e-01 6.940625000000000266e-01 6.122702169418334783e-01 7.862500000000000044e-01 1.000000000000000056e-01 8.050000000000000488e-01 9.649999999999999689e-01 6.149999999999999911e-01 7.600000000000000089e-01
2.200000000000000000e+01 9.354378050565719249e-01 7.093749999999999778e-01 5.945360100269317938e-01 7.850000000000000311e-01 1.000000000000000056e-01 8.800000000000000044e-01 9.449999999999999512e-01 5.250000000000000222e-01 7.900000000000000355e-01
2.300000000000000000e+01 9.414355945587158381e-01 7.084375000000000533e-01 6.485180270671844216e-01 7.662499999999999867e-01 1.000000000000000056e-01 8.549999999999999822e-01 8.499999999999999778e-01 7.650000000000000133e-01 5.949999999999999734e-01
2.400000000000000000e+01 9.245209664106368574e-01 7.184374999999999512e-01 6.505777227878570823e-01 7.412499999999999645e-01 1.000000000000000056e-01 6.750000000000000444e-01 8.900000000000000133e-01 6.300000000000000044e-01 7.700000000000000178e-01
2.500000000000000000e+01 9.316819578409194502e-01 7.099999999999999645e-01 5.926734840869903875e-01 7.824999999999999734e-01 1.000000000000000056e-01 8.750000000000000000e-01 8.699999999999999956e-01 6.450000000000000178e-01 7.399999999999999911e-01
2.600000000000000000e+01 9.287383621931075695e-01 7.128124999999999600e-01 6.841146129369736206e-01 7.662499999999999867e-01 1.000000000000000056e-01 8.499999999999999778e-01 9.200000000000000400e-01 5.949999999999999734e-01 6.999999999999999556e-01
2.700000000000000000e+01 9.040922588109969738e-01 7.375000000000000444e-01 6.760935997962951305e-01 7.387500000000000178e-01 1.000000000000000056e-01 5.899999999999999689e-01 9.399999999999999467e-01 6.149999999999999911e-01 8.100000000000000533e-01
2.800000000000000000e+01 9.059352385997772039e-01 7.278124999999999734e-01 6.164456278085708174e-01 7.512499999999999734e-01 1.000000000000000056e-01 6.300000000000000044e-01 9.499999999999999556e-01 6.800000000000000488e-01 7.449999999999999956e-01
2.900000000000000000e+01 9.194789683818817005e-01 7.112500000000000488e-01 6.525271689891815052e-01 7.750000000000000222e-01 1.000000000000000056e-01 8.499999999999999778e-01 9.649999999999999689e-01 6.049999999999999822e-01 6.800000000000000488e-01
3.000000000000000000e+01 9.024701386690139326e-01 7.296875000000000444e-01 6.131284821033478050e-01 7.700000000000000178e-01 1.000000000000000056e-01 7.349999999999999867e-01 8.599999999999999867e-01 7.600000000000000089e-01 7.249999999999999778e-01
3.100000000000000000e+01 9.092477434873580400e-01 7.225000000000000311e-01 5.825096225738525257e-01 7.912500000000000089e-01 1.000000000000000056e-01 8.850000000000000089e-01 8.950000000000000178e-01 5.200000000000000178e-01 8.649999999999999911e-01
3.200000000000000000e+01 9.110247415304183471e-01 7.268750000000000488e-01 6.079650574922561557e-01 7.637500000000000400e-01 1.000000000000000056e-01 8.449999999999999734e-01 9.599999999999999645e-01 6.949999999999999512e-01 5.550000000000000488e-01
